author,chapter,line,text
Onbekend,[Inhoudstafel],1,...........
Onbekend,[Inhoudstafel],2,Wanhope is vreselic bouen allen andren sonden
Onbekend,[Inhoudstafel],3,Van der boete der wanhope
Onbekend,[Inhoudstafel],4,Verwende prisen em seluen vnd al er doen
Onbekend,[Inhoudstafel],5,Verheuentheide begheren is grote vreese
Onbekend,[Inhoudstafel],5,Verweentheit mach zijn und dat in iiij manir(e)[n]
Onbekend,[Inhoudstafel],7,Werschepe holden metten rijken vnd de arme(n)
Onbekend,[Inhoudstafel],8,Weerdicheit moet elk doen hem vieren bi rechte
Onbekend,[Inhoudstafel],9,Weerdicheit so is men schuldich allen luden
Onbekend,[Inhoudstafel],10,Weerdicheit moet sijn gedaen meer den eenen
Onbekend,[Inhoudstafel],10,Verwatenisse moetmen vntsien vmme vj reden
Onbekend,[Inhoudstafel],12,Wrake nemen vnd met willen vergheuen
Onbekend,[Inhoudstafel],13,Versweren dats grote sonde dats bewiset
Onbekend,[Inhoudstafel],14,Verradenisse is eene sware sonde vnd zere q(u)[etsende]
Onbekend,[Inhoudstafel],15,Vloken is eene sonde meest quetsende vt w(e)[n]
Onbekend,[Inhoudstafel],15,Vuule sprake mistaet zere vnd verstoert den [...]
Onbekend,[Inhoudstafel],17,Xpristus armode is bote der gulsicheit
Onbekend,[Inhoudstafel],18,Xpristum weder vtsteken na den vnt(f)[aen]
Onbekend,[Inhoudstafel],19,Xpristus armoede leert vns schuwen ghijri(c)[heit]
Onbekend,[Inhoudstafel],20,Xpristus bad ny broet (n)[o a](l)[mo](s)[en] (w)[o] (w)[al]
Onbekend,[Inhoudstafel],20,... (n) to luxurien
Onbekend,[Inhoudstafel],22,... (d)e so lanck so meer
Onbekend,[Inhoudstafel],23,... (h)ebben dat se besitten
Onbekend,[Inhoudstafel],24,... toomde wijff
Onbekend,[Inhoudstafel],25,... n wrake
Onbekend,[Inhoudstafel],25,... (a)ken
Onbekend,[Inhoudstafel],27,... (a)ten mochte
Onbekend,[Inhoudstafel],28,... [to](g)hen vele leerers
Onbekend,[Inhoudstafel],29,...........
Onbekend,[Inleiding],30,...........
Onbekend,[Inleiding],31,"Miserere mei deus,"
Onbekend,[Inleiding],32,Dat ich in ledicheden dus
Onbekend,[Inleiding],33,Hebbe versleten myne daghen.
Onbekend,[Inleiding],34,Met alle rechte mach ic claghen:
Onbekend,[Inleiding],5,"Het is groot tijd, dat ick wederkere,"
Onbekend,[Inleiding],36,Vnd segghe vntfermet mijns here
Onbekend,[Inleiding],37,Van al dat ick hebbe misdaen;
Onbekend,[Inleiding],38,"Wilt my vort in hulpen staen,"
Onbekend,[Inleiding],39,Dat ick de ledicheit moete vlien
Onbekend,[Inleiding],10,Vnd my besich maken mettien
Onbekend,[Inleiding],41,"Dinghen, de my brenghen profijt."
Onbekend,[Inleiding],42,"Des ghonne gij my, de driuoldich zijt;"
Onbekend,[Inleiding],43,"Helpt my, dat dit werc zij vulkomen"
Onbekend,[Inleiding],44,"To juwer eere vnd des menschen vromen,"
Onbekend,[Inleiding],15,"Van welk ick hijr make beghin,"
Onbekend,[Inleiding],46,Vp dat ick gezelicht werde daer in.
Onbekend,[Inleiding],47,"De een werc wil beghinen werken,"
Onbekend,[Inleiding],48,Moet vier dinghe dar to merken;
Onbekend,[Inleiding],49,"Gebreken ock enych van dien,"
Onbekend,[Inleiding],20,"Dat werck en sal niet vul geschien,"
Onbekend,[Inleiding],51,Vnd dat vijfte men selden achter laet.
Onbekend,[Inleiding],52,"De eerste is stoffe, de dar to ghaet,"
Onbekend,[Inleiding],53,Also wy in elker metselrien
Onbekend,[Inleiding],54,Steene vnd calck orboren zien.
Onbekend,[Inleiding],25,"Dat ander, dats een werckman"
Onbekend,[Inleiding],56,Diet werck na rechte maken can
Onbekend,[Inleiding],57,Vnd elk dinck to zijnre behoerten leghet.
Onbekend,[Inleiding],58,"Dat derde, dat dar to zijne pleghet,"
Onbekend,[Inleiding],59,"Is de ordinancie all,"
Onbekend,[Inleiding],30,Na welker dat werc ghemaect zijn sal.
Onbekend,[Inleiding],61,"Dat vierde is, vmme wat zaken"
Onbekend,[Inleiding],62,De grote zwaerheit vanden zonden.
Onbekend,[Inleiding],63,Na dat se vanden hilghen vorleden
Onbekend,[Inleiding],64,"Ghetoghet zijn by autoriteden,"
Onbekend,[Inleiding],65,"Daer wert getoghet groot verdriet,"
Onbekend,[Inleiding],5,Welk al vten zonden is geschiet.
Onbekend,[Inleiding],67,Ten derden werden boeten gescreuen
Onbekend,[Inleiding],68,"Daer elke zonde bi wert verdreuen,"
Onbekend,[Inleiding],69,Van welken men gewaghen sal.
Onbekend,[Inleiding],70,"Dus wert des boecks ordinancie al,"
Onbekend,[Inleiding],10,Sonden to toghenne vnd ock mede
Onbekend,[Inleiding],72,Te leren schuwen alle quaethede.
Onbekend,[Inleiding],73,Dat vierde dat behoert to elken werke
Onbekend,[Inleiding],74,"Is datmen de warvmme merke,"
Onbekend,[Inleiding],75,"Dats wat he menende was dar mede,"
Onbekend,[Inleiding],15,De dat werc stichte vnd stichten dede.
Onbekend,[Inleiding],77,"Van dessen wercke de waervmme,"
Onbekend,[Inleiding],78,Dat daer in de leeke dumme
Onbekend,[Inleiding],79,Der zonden kennisse vinden solden
Onbekend,[Inleiding],80,Vnd by den kenne daer bi vntholden.
Onbekend,[Inleiding],20,Wat bynnen den boeke wert gewaghen
Onbekend,[Inleiding],82,"Van gheschienisse der plaghen,"
Onbekend,[Inleiding],83,"Van miraculen vnd van historien,"
Onbekend,[Inleiding],84,By den welken de mensche memorien
Onbekend,[Inleiding],85,"To duechden dicwijl hebben gekeert,"
Onbekend,[Inleiding],25,"Mids dat se horende worden geleert,"
Onbekend,[Inleiding],87,"Dus wert des boecs waervmme dan,"
Onbekend,[Inleiding],88,Vmme dat beide wijf vnd man
