author,chapter,line,text
Jan van Boendale,[Proloog],1,OMdat ic niet en wille leiden
Jan van Boendale,[Proloog],2,In onnutter ledecheiden.
Jan van Boendale,[Proloog],3,Dien tijt die mi gheeft onse here.
Jan van Boendale,[Proloog],4,Die gheloeft si emmermere
Jan van Boendale,[Proloog],5,Soe hebbic dit werc begonnen
Jan van Boendale,[Proloog],6,Onse here moete mi des onnen
Jan van Boendale,[Proloog],7,Dat ict alsoe volbringhe
Jan van Boendale,[Proloog],10,Datter in sonderlinghe
Jan van Boendale,[Proloog],9,Ligghe sijn ere ende sijn lof
Jan van Boendale,[Proloog],10,Ende dat si alle daer of
Jan van Boendale,[Proloog],11,Te beter moeten wesen
Jan van Boendale,[Proloog],12,Diet horen selen ende lesen
Jan van Boendale,[Proloog],15,Want omme ghemeine orbore soe
Jan van Boendale,[Proloog],14,Leidic dit wercsken toe
Jan van Boendale,[Proloog],15,Ende dat ic gherne saghe dat
Jan van Boendale,[Proloog],16,Iet van mi bleue des te bat
Jan van Boendale,[Proloog],17,Dleke volc hadde na mijn doet
Jan van Boendale,[Proloog],20,Clerke en hebbens ghene noet
Jan van Boendale,[Proloog],19,Dat sijt lesen groet ende smal
Jan van Boendale,[Proloog],20,Want si connent buten al
Jan van Boendale,[Proloog],21,Ende want dleke volc es de sake
Jan van Boendale,[Proloog],22,Daeromme ic dit boecsken make
Jan van Boendale,[Proloog],25,So sal dit boec sijn wel
Jan van Boendale,[Proloog],24,Ghenamt de leke spieghel
Jan van Boendale,[Proloog],25,Ic hope dat si daer bi
Jan van Boendale,[Proloog],26,Bidden selen ouer mi
Jan van Boendale,[Proloog],27,Ende segghen in eneghen stonden
Jan van Boendale,[Proloog],30,God vergheue hem sine sonden
Jan van Boendale,[Proloog],29,Die met sinen arbeide
Jan van Boendale,[Proloog],30,Dit werc ierst toe leide
Jan van Boendale,[Proloog],31,Den beniders biddic dat si
Jan van Boendale,[Proloog],32,Tonrechte niene begripen mi
Jan van Boendale,[Proloog],35,Die altoes kapen ende kipen
Jan van Boendale,[Proloog],34,Hoe dat si moghen begripen
Jan van Boendale,[Proloog],35,Dat dichteren bringhen vort
Jan van Boendale,[Proloog],36,Die selue nochtan een oert
Jan van Boendale,[Proloog],37,Niet en weten daer af
Jan van Boendale,[Proloog],40,Niet te meer dan een caf
Jan van Boendale,[Proloog],39,Maer dats om niet ghelesen
Jan van Boendale,[Proloog],40,Begripers moeten altoes wesen
