author,chapter,line,text
Onbekend,XXX.  Een begin vanden riddere metter mouwen,1,"Ons vertelt die aventure,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,2,Dat coninc Artur op dese ure
Onbekend,XXX.  Een begin vanden riddere metter mouwen,3,Hilt een hof soe overgroet
Onbekend,XXX.  Een begin vanden riddere metter mouwen,4,"In die stat te Kardeloet,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14585,"Recht op enen tsinxendach,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,6,Dat men nie gelijc des ne sach.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,7,"Die coninc hi droech crone doe,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,8,Entie coninginne mede alsoe.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,9,Daer was menech riddere te hove
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14590,Stoute ende van goeden love.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,11,Die coninc hadde oec doen maken
Onbekend,XXX.  Een begin vanden riddere metter mouwen,12,Roet samijt ende scarlaken
Onbekend,XXX.  Een begin vanden riddere metter mouwen,13,"Mantel ende roc vif hondert paer,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14,"Vol hermerijns wit ende claer,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14595,Ende dor op blau sindael dorhouwen.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,16,Daer waren ridderen ende joncfrouwen
Onbekend,XXX.  Een begin vanden riddere metter mouwen,17,Met diren clederen ende met goeden
Onbekend,XXX.  Een begin vanden riddere metter mouwen,18,"Geaetsemeert, die hen wel stoeden."
Onbekend,XXX.  Een begin vanden riddere metter mouwen,19,"Daer waren vijfdusent ridders snel,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14600,"Van prise goet, wetic wel."
Onbekend,XXX.  Een begin vanden riddere metter mouwen,21,Doe ginc die coninc messe horen
Onbekend,XXX.  Een begin vanden riddere metter mouwen,22,Met menegen riddere ut vercoren.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,23,"Erec ende Ydier, wet vor waer,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,24,Gingen vorden coninc daer
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14605,"Met tween guldinen roeden,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,26,Ende weerden die te bi stoeden.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,27,Ydiers vader hiet coninc Verminc:
Onbekend,XXX.  Een begin vanden riddere metter mouwen,28,Erecs vader was Lac die coninc;
Onbekend,XXX.  Een begin vanden riddere metter mouwen,29,Dese waren edel ende rike.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14610,Die coninginne dire gelike
Onbekend,XXX.  Een begin vanden riddere metter mouwen,31,Volgede na met sconen joncfrouwen:
Onbekend,XXX.  Een begin vanden riddere metter mouwen,32,"Vierwerf .xx. mochtmer scouwen,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,33,Die alle gecleet sierlijc sijn
Onbekend,XXX.  Een begin vanden riddere metter mouwen,34,Met diren clederen sidijn.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14615,Der coninginnen leide Walewein
Onbekend,XXX.  Een begin vanden riddere metter mouwen,36,Ende Perchevael in dat plein;
Onbekend,XXX.  Een begin vanden riddere metter mouwen,37,Ende Lanceloet ende Ductalas
Onbekend,XXX.  Een begin vanden riddere metter mouwen,38,"Leetden Claretten, sijt seker das."
Onbekend,XXX.  Een begin vanden riddere metter mouwen,39,Dus heeft men messe begonnen daer.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14620,Men sanc met noten scone ende claer.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,41,Ende doen die dienst was gedaen
Onbekend,XXX.  Een begin vanden riddere metter mouwen,42,Brachtmen water ende ginc dwaen.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,43,Daer was ten etene gedient wale....
Onbekend,XXX.  Een begin vanden riddere metter mouwen,44,Wal soude daer af lange tale.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14625,Elc hadde daer sijn gevoech
Onbekend,XXX.  Een begin vanden riddere metter mouwen,46,"Dies hi wilde, ende meer dan gnoech."
Onbekend,XXX.  Een begin vanden riddere metter mouwen,47,Doen terde gerechte daer was geten
Onbekend,XXX.  Een begin vanden riddere metter mouwen,48,Swoer die coninc ende liet daer weten
Onbekend,XXX.  Een begin vanden riddere metter mouwen,49,Datmen niet soude eten vord
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14630,"Eer daer niemare ware gehord,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,51,Noch scoenlaken werd op gedaen.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,52,Ende niet lange daerna saen
Onbekend,XXX.  Een begin vanden riddere metter mouwen,53,Quam een bode met haestecheden
Onbekend,XXX.  Een begin vanden riddere metter mouwen,54,Al tote vore die zale gereden:
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14635,"Hi beette neder, ende sijn paert"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,56,Hielt een knape. Hi ginc ter vaerd
Onbekend,XXX.  Een begin vanden riddere metter mouwen,57,"Vorden coninc ende groetten met sinne,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,58,Ende daerna die coninginne.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,59,"Hi seide hi brachte ene niemare,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14640,Die hen liver comen ware
Onbekend,XXX.  Een begin vanden riddere metter mouwen,61,"""Bi enen anderen dan bi mi."""
Onbekend,XXX.  Een begin vanden riddere metter mouwen,62,"Doe sprac die coninc: ""Segt mi wat si,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,63,Want ic moet ene niemare weten
Onbekend,XXX.  Een begin vanden riddere metter mouwen,64,"Eer hier heden werd volgeten."""
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14645,Doen seide die knape met droven mode:
Onbekend,XXX.  Een begin vanden riddere metter mouwen,66,"""Here, Tristram die goede"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,67,Es doet: ic litene opten vloer
Onbekend,XXX.  Een begin vanden riddere metter mouwen,68,Licgen doen ic henen voer.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,69,"Ysauden minne, sijns oems wijf,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14650,"Heeft genomen sijn lijf,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,71,Ende si es oec om sinen wille doet.
Onbekend,XXX.  Een begin vanden riddere metter mouwen,72,"Marcus sijn oem heeft rouwe groet,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,73,"Beide om hem ende om hare,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,74,"Here, uwen orlof. ic vare,"
Onbekend,XXX.  Een begin vanden riddere metter mouwen,14655,"Ic moet elre boetscap dragen."""
Onbekend,XXX.  Een begin vanden riddere metter mouwen,76,Doen hoerdemen sere clagen
Onbekend,XXX.  Een begin vanden riddere metter mouwen,77,"Beide heren ende oec vrouwen,"
