author,chapter,line,text
Onbekend,HIER BEGHINT DIE SOTTERNIE.,1,"Siet doch, en benic niet hier?"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,2,Ic ben een wijtmolder ende drincke gerne bier.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,3,"Tesschen, hantscoen canic nayen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,4,Hoy ende coren canic oec mayen;
Onbekend,HIER BEGHINT DIE SOTTERNIE.,5,"Ja, woudic oec daer omme lopen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,6,Ic can oec copen ende vercopen.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,7,"Oec soe benic een temmerman,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,8,"Daer ic noit met en wan,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,9,"Ic ben oec een molder ende can malen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,10,"Ic can oec wel borghen ende qualijc betalen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,11,"Ic can roden ende hacken,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,12,"Ic can brouwen, ic can backen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,13,"Ic can dijcken ende dammen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,14,Ic can derschen ende wannen;
Onbekend,HIER BEGHINT DIE SOTTERNIE.,15,Noch canic vele dincs meere.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,16,Eesser enich vrouwe of here
Onbekend,HIER BEGHINT DIE SOTTERNIE.,17,Die mi wilt hueren tenen knape?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,18,"Al eest dat ic gerne langhe slape,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,19,Ic ben herde traech te minen werke.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,20,"Woude hier iement ane mi leggen merke,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,21,Die mi tenen knape woude hueren?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,22,Want ic can wel ter tafelen dueren
Onbekend,HIER BEGHINT DIE SOTTERNIE.,23,Ende oec canic graven ende luken.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,24,Ende ic can binden steinen kruuken
Onbekend,HIER BEGHINT DIE SOTTERNIE.,25,Ende melcteilen van erden ghedrayt.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,26,"En trouwen, die duvel brinct u hier gewait"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,27,Met uwer foberdien te maken.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,28,God gheve u ramp in uwe kaken!
Onbekend,HIER BEGHINT DIE SOTTERNIE.,29,Duncket u wesen foberdie?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,30,"Alsoe gerne wondic mijn broet als ghie,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,31,"Want ic hebbe wijf ende kinder thuus,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,32,"Jaet, het dunct mi een vri abuus:"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,33,Steinen cruuken binden ende melcteilen!
Onbekend,HIER BEGHINT DIE SOTTERNIE.,34,"Condi die wel te gader heilen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,35,Soe sidi wel een constich man.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,36,Waendi dat ic noch niet meer en can?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,37,Ja woudix mi onderwinden
Onbekend,HIER BEGHINT DIE SOTTERNIE.,38,"Ende minen sac van consten ontbinden,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,39,"Ic soude van u maken een peert,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,40,"Het soude schinen tien pont weert,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,41,Swert van hare ende daer toe ru.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,42,"God brachte mi ane u,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,43,"Ic hore wel, ghi sijt een constenare."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,44,Soudi mi connen verdriven mijn grawe hare
