author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Hoe hem gelieten die hoge moede;
Onbekend,Onbekend Hoofdstuk,2,Payne waren sonder hoede:
Onbekend,Onbekend Hoofdstuk,3,Si waendent hebben gewonnen al
Onbekend,Onbekend Hoofdstuk,4,"Maer alsi horden dat gescal,"
Onbekend,Onbekend Hoofdstuk,5,"Hadden si wonder, wat ware;"
Onbekend,Onbekend Hoofdstuk,6,Si riepen met stemmen clare:
Onbekend,Onbekend Hoofdstuk,7,"""Zassen, Sassen ende Sassine,"
Onbekend,Onbekend Hoofdstuk,8,Slaet doet dese Kerstine
Onbekend,Onbekend Hoofdstuk,9,"Tharen verdriete, tharen vernoye."
Onbekend,Onbekend Hoofdstuk,10,"Maer doe si horden ""Monyoie!"""
Onbekend,Onbekend Hoofdstuk,11,"Roepen, dat dochen qualec gaen:"
Onbekend,Onbekend Hoofdstuk,12,Si saghen haer liede slaen
Onbekend,Onbekend Hoofdstuk,13,Beide weder ende vort.
Onbekend,Onbekend Hoofdstuk,14,Roelant wrochte grote mort;
Onbekend,Onbekend Hoofdstuk,15,"Fransoys, El'e (Elegast?), Olyvier"
Onbekend,Onbekend Hoofdstuk,16,"Ende hare ghezellen fier,"
Onbekend,Onbekend Hoofdstuk,17,"Escous, Olleus ende Reynout"
Onbekend,Onbekend Hoofdstuk,18,Ende Gwyd waren vrom ende stout;
Onbekend,Onbekend Hoofdstuk,19,Inghelram ende Constantijn
Onbekend,Onbekend Hoofdstuk,20,"Sauri entie broeder sijn,"
Onbekend,Onbekend Hoofdstuk,21,Gheraerts kindere van Vyane.
Onbekend,Onbekend Hoofdstuk,22,Beide van steken ende van slane
Onbekend,Onbekend Hoofdstuk,23,Wasser harde groot gheluut.
Onbekend,Onbekend Hoofdstuk,24,"Men liet den Sassenaren uut,"
Onbekend,Onbekend Hoofdstuk,25,"Zwaven, Brussuwoene, Zweden,"
Onbekend,Onbekend Hoofdstuk,26,"Bloet ende zweet ut haren leden,"
Onbekend,Onbekend Hoofdstuk,27,"Men sclouchen af arm ende bene,"
Onbekend,Onbekend Hoofdstuk,28,Entie lede alghemene.
Onbekend,Onbekend Hoofdstuk,29,"Si riepen, die ridders fier:"
Onbekend,Onbekend Hoofdstuk,30,"""Nu keytive, ghi blivet hier;"
Onbekend,Onbekend Hoofdstuk,31,"""Uwe ghesellen sijn al doet,"
Onbekend,Onbekend Hoofdstuk,32,"""Ende Fledric die rese groet;"
Onbekend,Onbekend Hoofdstuk,33,"""Een en esser niet ontgaen,"
Onbekend,Onbekend Hoofdstuk,34,"""Ende met u werdet oec ghedaen,"
Onbekend,Onbekend Hoofdstuk,35,"""U weren baet u niet!"""
Onbekend,Onbekend Hoofdstuk,36,Sassen hadden groot verdriet
Onbekend,Onbekend Hoofdstuk,37,Daer inder Fransoyse tale;
Onbekend,Onbekend Hoofdstuk,38,Si saghen vellen in den dale
Onbekend,Onbekend Hoofdstuk,39,Haer ghezellen biden lichte;
Onbekend,Onbekend Hoofdstuk,40,"Alzo lange durde tghevichte,"
Onbekend,Onbekend Hoofdstuk,41,"Dat wert scoen dach,"
Onbekend,Onbekend Hoofdstuk,42,"Ende tlicht, hordic ghewach,"
Onbekend,Onbekend Hoofdstuk,43,Worpmen onder voet.
Onbekend,Onbekend Hoofdstuk,44,"Roelant was al een bloet,"
Onbekend,Onbekend Hoofdstuk,45,Die op Volative sat;
Onbekend,Onbekend Hoofdstuk,46,Hi rechten tier stat
Onbekend,Onbekend Hoofdstuk,47,Op beide sijn stegebant
Onbekend,Onbekend Hoofdstuk,48,Ende blies den Olyfant
Onbekend,Onbekend Hoofdstuk,49,"Met enen groten adem ruut,"
Onbekend,Onbekend Hoofdstuk,50,Dat men horen mochte tluut
Onbekend,Onbekend Hoofdstuk,51,Een mile over tstede.
Onbekend,Onbekend Hoofdstuk,52,"Sijn ghezellen verblider mede,"
Onbekend,Onbekend Hoofdstuk,53,Ende Sassen worden uten kere;
Onbekend,Onbekend Hoofdstuk,54,Want si saghen minderen sere
Onbekend,Onbekend Hoofdstuk,55,Metten oghen haer ghesellen.
Onbekend,Onbekend Hoofdstuk,56,"Hoe si hem ter were stellen,"
Onbekend,Onbekend Hoofdstuk,57,"Het was dinc, die niet besloot."
Onbekend,Onbekend Hoofdstuk,58,"Roelant sclouger so vele doot,"
Onbekend,Onbekend Hoofdstuk,59,"Fransoys sijn broeder ende Olyvier,"
Onbekend,Onbekend Hoofdstuk,60,"Ende haer ghezellen fier,"
Onbekend,Onbekend Hoofdstuk,61,Dattet ongheloefelic waer.
Onbekend,Onbekend Hoofdstuk,62,Die Sassen vloen hier ende daer
Onbekend,Onbekend Hoofdstuk,63,"Ende riepen: ""Roelandijn,"
Onbekend,Onbekend Hoofdstuk,64,Olyvier entie broeder sijn
Onbekend,Onbekend Hoofdstuk,65,"""Sijn duvels uter hellen;"
Onbekend,Onbekend Hoofdstuk,66,"""Si verslaen al ons ghezellen."""
Onbekend,Onbekend Hoofdstuk,67,"Doe vloen Sassen met alder cracht,"
Onbekend,Onbekend Hoofdstuk,68,"Tot si quamen optie gracht,"
Onbekend,Onbekend Hoofdstuk,69,Daer die hare laghen versmort;
Onbekend,Onbekend Hoofdstuk,70,"Doe riepensi: ""Mamet, deser mort"
Onbekend,Onbekend Hoofdstuk,71,"""Moet u afdinken ende ontfermen!"""
Onbekend,Onbekend Hoofdstuk,72,"In dat suchten, in dat kermen"
Onbekend,Onbekend Hoofdstuk,73,So vloen die felle Sassenaren.
Onbekend,Onbekend Hoofdstuk,74,Die grachte so effen waren
Onbekend,Onbekend Hoofdstuk,75,"Mits den doden, diere in laghen"
Onbekend,Onbekend Hoofdstuk,76,"Datsi die perde al overslaghen,"
Onbekend,Onbekend Hoofdstuk,77,Ende reden met hare pine
Onbekend,Onbekend Hoofdstuk,78,Toter stede van Sassine;
Onbekend,Onbekend Hoofdstuk,79,Ja in de zelve diere [sciere?] waren;
Onbekend,Onbekend Hoofdstuk,80,Maer Fransoyse na hem varen
Onbekend,Onbekend Hoofdstuk,81,"So vromelike, ter waerhede,"
Onbekend,Onbekend Hoofdstuk,82,"Datsise sclougen onder de stede,"
Onbekend,Onbekend Hoofdstuk,83,Ende jaeghden int fosseit.
Onbekend,Onbekend Hoofdstuk,84,Dese grote jammerheit
Onbekend,Onbekend Hoofdstuk,85,"Hebben vernomen die van binnen,"
Onbekend,Onbekend Hoofdstuk,86,Daer si stoeden tharen tinnen.
Onbekend,Onbekend Hoofdstuk,87,"Dander riepen: ""Laet in, laet in!"
Onbekend,Onbekend Hoofdstuk,88,"""Wij hebben behaelt cranc ghewin."
Onbekend,Onbekend Hoofdstuk,89,"""Fledric ons here es doet"
Onbekend,Onbekend Hoofdstuk,90,"""Met quader verradenesse groet:"
Onbekend,Onbekend Hoofdstuk,91,"""Valsch ende fel sijn die kerstine."""
Onbekend,Onbekend Hoofdstuk,92,Doe liepen die van Sassine
Onbekend,Onbekend Hoofdstuk,93,Tharen porten haestelike
Onbekend,Onbekend Hoofdstuk,94,"Ende ontdadense ghemenelike,"
Onbekend,Onbekend Hoofdstuk,95,Ende scoten bedichte
Onbekend,Onbekend Hoofdstuk,96,"Wtwaert scerpe scichte,"
Onbekend,Onbekend Hoofdstuk,97,"Dat die Fransoyse moesten keren,"
Onbekend,Onbekend Hoofdstuk,98,Als die duchten dat
Onbekend,Onbekend Hoofdstuk,99,"Van den schieten, van den lode."
Onbekend,Onbekend Hoofdstuk,100,"Al waest, dat sijt daden node"
Onbekend,Onbekend Hoofdstuk,101,"Datsi Payne varen lieten,"
Onbekend,Onbekend Hoofdstuk,102,"Si ontsaghen so dat scieten,"
Onbekend,Onbekend Hoofdstuk,103,"(Dat die Fransoyse moesten keren,"
Onbekend,Onbekend Hoofdstuk,104,Als die duchten dat verseren)
Onbekend,Onbekend Hoofdstuk,105,Datsi keerden tharen ghetelde.
Onbekend,Onbekend Hoofdstuk,106,Si hadden versleghen opten velde
Onbekend,Onbekend Hoofdstuk,105,"Der Payne met hare cracht,"
Onbekend,Onbekend Hoofdstuk,108,"Met die waren in de gracht,"
Onbekend,Onbekend Hoofdstuk,109,Wel .XXXV. dusant.
Onbekend,Onbekend Hoofdstuk,110,Doe seide die grave Roelant:
Onbekend,Onbekend Hoofdstuk,111,"""Here El'e [Elegaste?], dit was goet raet;"
Onbekend,Onbekend Hoofdstuk,110,"""Die Sassen waren wel verquaet;"
Onbekend,Onbekend Hoofdstuk,113,"""Nochtan hadt eerleker ghezijn,"
Onbekend,Onbekend Hoofdstuk,114,"""Waren si vor den zwerde stalijn"
Onbekend,Onbekend Hoofdstuk,115,"""Bleven, so dander deden."
Onbekend,Onbekend Hoofdstuk,116,"""Here Roelant, bi uwer ghenaden,"
Onbekend,Onbekend Hoofdstuk,115,"""Hadden die te live ghebleven,"
Onbekend,Onbekend Hoofdstuk,118,"""Ende si te scerne niet waren ghedreven,"
Onbekend,Onbekend Hoofdstuk,119,"""Si hadden ons beraden stoot,"
Onbekend,Onbekend Hoofdstuk,120,"""Ende meneghen man gheslaghen doot"
Onbekend,Onbekend Hoofdstuk,121,"""Ende lichte van den velde verdreven."
Onbekend,Onbekend Hoofdstuk,120,"""Si hadden mi liever verloren dleven,"
Onbekend,Onbekend Hoofdstuk,123,"""Dant stonde ter aventure!"""
Onbekend,Onbekend Hoofdstuk,124,"""So doen si mi teser ure,"
Onbekend,Onbekend Hoofdstuk,125,Sprac Fransoys ende Olyvier.
Onbekend,Onbekend Hoofdstuk,126,Aldus reden die princhier
Onbekend,Onbekend Hoofdstuk,125,"Tharen ghetelde, si vercont,"
Onbekend,Onbekend Hoofdstuk,128,Daer menech doet lach ende ghewont;
Onbekend,Onbekend Hoofdstuk,129,"Si hadden hout u daer an,"
Onbekend,Onbekend Hoofdstuk,130,"Verloren .XV. man,"
Onbekend,Onbekend Hoofdstuk,131,"Onder koken ende knechten,"
Onbekend,Onbekend Hoofdstuk,130,Diet ghetelde daer berechten.
Onbekend,Onbekend Hoofdstuk,133,Oec daden de heren doen
Onbekend,Onbekend Hoofdstuk,134,"Ter erden de dode baroen,"
Onbekend,Onbekend Hoofdstuk,135,Die hem lieden horden toe;
Onbekend,Onbekend Hoofdstuk,136,Die dode Sassenaren doe
Onbekend,Onbekend Hoofdstuk,135,"Datsi sleipen, gheloeft das,"
Onbekend,Onbekend Hoofdstuk,138,"In de gracht, daer soe ijdel was,"
Onbekend,Onbekend Hoofdstuk,139,En dadense slechten ter verde.
Onbekend,Onbekend Hoofdstuk,140,"Doe werper op die erde,"
Onbekend,Onbekend Hoofdstuk,141,Die de duvels in der nacht
Onbekend,Onbekend Hoofdstuk,140,Geworpen hadden uter gracht:
Onbekend,Onbekend Hoofdstuk,143,Daer mede bleven si ghedect.
Onbekend,Onbekend Hoofdstuk,144,Die heren sijn afgetrect
Onbekend,Onbekend Hoofdstuk,145,"Doe in hare pawelioene,"
Onbekend,Onbekend Hoofdstuk,146,[...............]
Onbekend,Onbekend Hoofdstuk,145,Ende ghinghen eten ten ghetelde.
Onbekend,Onbekend Hoofdstuk,148,"Si lieten werden opten velde,"
Onbekend,Onbekend Hoofdstuk,149,Die se hoeden jeghen de stat.
Onbekend,Onbekend Hoofdstuk,150,Die heren hadden niet dat
Onbekend,Onbekend Hoofdstuk,151,Ghevoech van alderhande spise.
Onbekend,Onbekend Hoofdstuk,150,Nu willic u de ghise
Onbekend,Onbekend Hoofdstuk,153,Vertrecken van die van der stede:
Onbekend,Onbekend Hoofdstuk,154,Daer was grote jammerhede
Onbekend,Onbekend Hoofdstuk,155,"Ghedreven onder tfolc ghemene,"
Onbekend,Onbekend Hoofdstuk,156,"Beide groot ende clene,"
Onbekend,Onbekend Hoofdstuk,155,Om haren here Fledric;
Onbekend,Onbekend Hoofdstuk,158,Daer was ghetrocken menech stic
Onbekend,Onbekend Hoofdstuk,159,Van mantels ende van clederen mede.
Onbekend,Onbekend Hoofdstuk,160,"Die meeste rouwe was int stede,"
Onbekend,Onbekend Hoofdstuk,161,Daer noyt eer af was ghehort:
Onbekend,Onbekend Hoofdstuk,160,"Tfolc liep al, sonder acort,"
Onbekend,Onbekend Hoofdstuk,163,"Handen slaende, treckende haer,"
Onbekend,Onbekend Hoofdstuk,164,"Ende dreven die meeste mesbaer,"
Onbekend,Onbekend Hoofdstuk,165,Dat ye liede ter werelt dreven
Onbekend,Onbekend Hoofdstuk,166,"Om ooms, om kinder ende om neven"
Onbekend,Onbekend Hoofdstuk,165,Ende meest om haren here.
Onbekend,Onbekend Hoofdstuk,168,Si vloecten Roelant sere
Onbekend,Onbekend Hoofdstuk,169,Ende sine ghesellen al;
Onbekend,Onbekend Hoofdstuk,170,"Si riepen: ""Dit ongheval,"
Onbekend,Onbekend Hoofdstuk,171,"""Lacen! dat hier es ghesciet,"
Onbekend,Onbekend Hoofdstuk,170,"""Ne weet ons here niet,"
