author,chapter,line,text
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,1,"God, die oyt was ende nie begonste,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,2,"Heeft Cyromanchia, eene conste"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,3,Allen creaturen die leven
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,4,In die hant te siene ghegheven
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,5,"An die linien, diet besceeden"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,6,"Hoe datti den tijt sal leeden,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,7,Weder te ghelucke van goede
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,8,"Of in rauwen der armoeden,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,9,Tusschen beeden in wiltheden
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,10,"Loepen, jaghen of houden steden,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,11,Met ghelucke groet in sonden
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,12,Of in huwelike te sine ghebonden
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,13,In water sterven of upt lant
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,14,Dit toecht die tafel van der hant;
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,15,"Want elken mensche, bi Gods consente,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,16,"Hebben gheset die helemente,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,17,Hoe hi dus leeden sal sijn leven
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,18,Als hiervoren staet bescreven
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,19,"Sinen tijt, ende hoe hoec mede;"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,20,Maer mids goeder lieder bede
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,21,So mach gracie van boven
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,22,"Nature wel haer recht roven,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,23,Want God es altoes ten naesten.
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,24,Oec mach men wel die doot verhaesten
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,25,Alsoe dickent ghevalt van hem somen;
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,26,Maer als die tijt es al vulcomen
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,27,"Dat nature wijst te ghesciene,"
Onbekend,CYROMANCHIE VAN DEN PAPE VAN DEN HAMME,28,Alle medicine of surgiene
