author,chapter,line,text
Calfstaf en Noydekin(?),[Proloog],1,IC wille v in die ere ons heren
Calfstaf en Noydekin(?),[Proloog],2,Bi beesten ende bi vogelen leren
Calfstaf en Noydekin(?),[Proloog],3,Wisen ende wel bedieden
Calfstaf en Noydekin(?),[Proloog],4,Die nature van den lieden
Calfstaf en Noydekin(?),[Proloog],5,Elke beeste heeft hare manieren
Calfstaf en Noydekin(?),[Proloog],6,Deene soe es fel dander goedertieren
Calfstaf en Noydekin(?),[Proloog],7,Dus sijn die man maer die quade
Calfstaf en Noydekin(?),[Proloog],8,Verwinnen die goede dat es scade
Calfstaf en Noydekin(?),[Proloog],9,Die ene beeste driuet gherne
Calfstaf en Noydekin(?),[Proloog],10,Dander daer si mach te scherne
Calfstaf en Noydekin(?),[Proloog],11,Dus es elc man op andren fel
Calfstaf en Noydekin(?),[Proloog],12,Bedi slachten si den beesten wel
Calfstaf en Noydekin(?),[Proloog],13,Al eest scande te segghene
Calfstaf en Noydekin(?),[Proloog],14,Man ieghen beesten te legghene
Calfstaf en Noydekin(?),[Proloog],15,Aen .c. beesten es nochtan
Calfstaf en Noydekin(?),[Proloog],16,Min valscheden dan an .i. man
Calfstaf en Noydekin(?),[Proloog],17,Ic sal v hier exemple maken
Calfstaf en Noydekin(?),[Proloog],18,Van beesten recht of si spraken
Calfstaf en Noydekin(?),[Proloog],19,Maer merket ende hoert
Calfstaf en Noydekin(?),[Proloog],20,Meer die redene dan die woert
Calfstaf en Noydekin(?),[Proloog],21,Ontdoet elc wort ghi vinter in
Calfstaf en Noydekin(?),[Proloog],22,Redene ende goeden sin
Calfstaf en Noydekin(?),[Proloog],23,Die goede redene bringhet voert
Calfstaf en Noydekin(?),[Proloog],24,Daer si qualijc es ghehoert
Calfstaf en Noydekin(?),[Proloog],25,Hi worpt op den steen sijn saet
Calfstaf en Noydekin(?),[Proloog],26,Daert nemmermeer vut en gaet
Calfstaf en Noydekin(?),[Proloog],27,Die vroede horet vroescap gerne
Calfstaf en Noydekin(?),[Proloog],28,Die dulle nemet al in scherne
Calfstaf en Noydekin(?),[Proloog],29,Selke liede horen gherne tgoede
Calfstaf en Noydekin(?),[Proloog],30,Dat es die semple ende die vroede
Calfstaf en Noydekin(?),[Proloog],31,Bedi en latic niet nochtan
Calfstaf en Noydekin(?),[Proloog],32,Ic en sal segghen dat ic can
Calfstaf en Noydekin(?),[Proloog],33,Bedi en es no wijf no man
Calfstaf en Noydekin(?),[Proloog],34,Hine magher leren vroescap an
Calfstaf en Noydekin(?),[Proloog],35,Hier beghint esopet
Calfstaf en Noydekin(?),[Proloog],36,Verstadine v werdes te bet
Calfstaf en Noydekin(?),1,37,INt mes daer .i. hane sochte
Calfstaf en Noydekin(?),1,38,Spise die hi eten mochte
Calfstaf en Noydekin(?),1,39,Daer vant hi .i. dieren steen
Calfstaf en Noydekin(?),1,40,Doe seide die hane haddi een
Calfstaf en Noydekin(?),1,41,Ghierech man aldus hier vonden
Calfstaf en Noydekin(?),1,42,Hi soudi doen met sinen ponden
Calfstaf en Noydekin(?),1,43,Hi soude met di maken feeste groet
Calfstaf en Noydekin(?),1,44,Dijns en hebbic ghenen noet
Calfstaf en Noydekin(?),1,45,Ic quam hier soeken mine spise
Calfstaf en Noydekin(?),1,46,Die ic voer alle stene prise
Calfstaf en Noydekin(?),1,47,Wat doestu hier dine mach van mi
Calfstaf en Noydekin(?),1,48,Gheen goet ghescien no mi van di
Calfstaf en Noydekin(?),1,49,Dese fauele es gheseit
Calfstaf en Noydekin(?),1,50,Van den ghenen die vroescap hebben leit
Calfstaf en Noydekin(?),1,51,Die no doghet no redene
Calfstaf en Noydekin(?),1,52,Int herte en roeken te bestedene
Calfstaf en Noydekin(?),2,53,EEn wolf ende .i. lam goedertieren
Calfstaf en Noydekin(?),2,54,Quamen drinken tere riuieren
Calfstaf en Noydekin(?),2,55,Si ghinghen drinken in .ij. steden
Calfstaf en Noydekin(?),2,56,Die wolf dranc bouen dlam beneden
Calfstaf en Noydekin(?),2,57,Doe seide die wolf du bevuulst mi al
Calfstaf en Noydekin(?),2,58,Dwater dat ic drinken sal
Calfstaf en Noydekin(?),2,59,Ay here sprac dlam wat segdi
Calfstaf en Noydekin(?),2,60,Dwater comt van v te mi
Calfstaf en Noydekin(?),2,61,Ia seide die wolf vloecstu mi toe
Calfstaf en Noydekin(?),2,62,Dlam antworde here in doe
Calfstaf en Noydekin(?),2,63,Du doest sprac hi dus dede dijn vader
Calfstaf en Noydekin(?),2,64,Wilen eer ende dijn gheslachte algader
Calfstaf en Noydekin(?),2,65,Dlam sprac in was doe niet gheboren
Calfstaf en Noydekin(?),2,66,Twi soudicker af hebben toren
Calfstaf en Noydekin(?),2,67,Noch seide die wolf horic di spreken
Calfstaf en Noydekin(?),2,68,Ic wane wel ic saels mi wreken
Calfstaf en Noydekin(?),2,69,Die wolf sloech te sticken ende scoert
Calfstaf en Noydekin(?),2,70,Dlam nochtan hads niet verboert
Calfstaf en Noydekin(?),2,71,Dus vint .i. quaet man occusoen
Calfstaf en Noydekin(?),2,72,Als hi den goeden quaet wille doen
Calfstaf en Noydekin(?),3,73,EEn muus wilde tenen tiden
Calfstaf en Noydekin(?),3,74,Over .i. riuiere liden
Calfstaf en Noydekin(?),3,75,Ghene muus bat .i. puut
Calfstaf en Noydekin(?),3,76,Dat hi haer over holpe ganser huut
Calfstaf en Noydekin(?),3,77,Hi bant die muus an sinen voet
Calfstaf en Noydekin(?),3,78,Ende swam in die vloet
Calfstaf en Noydekin(?),3,79,Die puut liet hem int water sinken
Calfstaf en Noydekin(?),3,80,Omdat hi wilde die muus verdrinken
Calfstaf en Noydekin(?),3,81,Die muus en mochte dwater niet ghedoghen
Calfstaf en Noydekin(?),3,82,Een wuwe quam daer gheuloghen
Calfstaf en Noydekin(?),3,83,Die de muus int water vinc
Calfstaf en Noydekin(?),3,84,Ende den puut die an haer hinc
Calfstaf en Noydekin(?),3,85,Die valscheit penst tandren wart
Calfstaf en Noydekin(?),3,86,Hets recht dat hi mesuaert
Calfstaf en Noydekin(?),3,87,Hets recht dat valsche tauerniere
Calfstaf en Noydekin(?),3,88,Drinken van hars selfs biere
Calfstaf en Noydekin(?),3,89,Het es oec recht dat quaet man sneeft
Calfstaf en Noydekin(?),3,90,Ende die quaet iaeght dat hi quaet heeft
Calfstaf en Noydekin(?),4,91,Tote enen scape tere stont
Calfstaf en Noydekin(?),4,92,Quam .i. herde pijnlijc hont
Calfstaf en Noydekin(?),4,93,Gef hare seiti die hont mijn broet
Calfstaf en Noydekin(?),4,94,Dat ic di leende in groter noet
Calfstaf en Noydekin(?),4,95,Tscaep en weet niet wat hi meent
Calfstaf en Noydekin(?),4,96,Mi en heefstu niet gheleent
Calfstaf en Noydekin(?),4,97,Ic doe seit hi ic saelt wel proeuen
Calfstaf en Noydekin(?),4,98,Met lieden meer dan mi behoeuen
Calfstaf en Noydekin(?),4,99,Tscaep quam voert metten honde
Calfstaf en Noydekin(?),4,100,Daer seide die wolf sine orconde
Calfstaf en Noydekin(?),4,101,Ic ben seide hi wel seker das
Calfstaf en Noydekin(?),4,102,Dat dbroet den scape gheleent was
Calfstaf en Noydekin(?),4,103,Die wuwe seide op minen eet
Calfstaf en Noydekin(?),4,104,Nemic oec dat ict wel weet
Calfstaf en Noydekin(?),4,105,Doe quam mijn here die hauech voert
Calfstaf en Noydekin(?),4,106,Ende seide ten scape dese woert
Calfstaf en Noydekin(?),4,107,Waeromme loechenstu eens dinges
Calfstaf en Noydekin(?),4,108,Die du openbare ontfinges
Calfstaf en Noydekin(?),4,109,Tscaep was in corten stonden
Calfstaf en Noydekin(?),4,110,Verwonnen met .iij. valschen orconden
Calfstaf en Noydekin(?),4,111,Doe moeste tscaep sijn vlies vercopen
Calfstaf en Noydekin(?),4,112,Bescoren ende al naect lopen
Calfstaf en Noydekin(?),4,113,Ende moeste om onrechte dinc
Calfstaf en Noydekin(?),4,114,Ghelden dat het noit ontfinc
Calfstaf en Noydekin(?),4,115,Bi deser fauelen soe bespellen
Calfstaf en Noydekin(?),4,116,Die valsch sijn ende valscheit tellen
Calfstaf en Noydekin(?),4,117,Die quade die de goede quellen
Calfstaf en Noydekin(?),4,118,Met orconden van haren ghesellen
Calfstaf en Noydekin(?),4,119,Die niet en roeken wat si sweren
Calfstaf en Noydekin(?),4,120,Moghen si .i. andren onteren
Calfstaf en Noydekin(?),5,121,Over .i. brugghe ghinc .i. hont
Calfstaf en Noydekin(?),5,122,Die .i. been droech in den mont
Calfstaf en Noydekin(?),5,123,Doen hi die scade int water sach
Calfstaf en Noydekin(?),5,124,Van den bene hort wat hi plach
Calfstaf en Noydekin(?),5,125,Hi snauwede omt stic van onder
Calfstaf en Noydekin(?),5,126,Dus wert hi van den bene sonder
Calfstaf en Noydekin(?),5,127,Dese fauele es gheseit van dien
Calfstaf en Noydekin(?),5,128,Die al willen hebben dat si sien
Calfstaf en Noydekin(?),5,129,Die emmer anders goet begaren
Calfstaf en Noydekin(?),5,130,Onblide worden si van den haren
Calfstaf en Noydekin(?),6,131,Tscaep die coe die geet metten barde
Calfstaf en Noydekin(?),6,132,Gheselden hem metten liebarde
Calfstaf en Noydekin(?),6,133,Doen dese .iiij. iaghen ginghen
Calfstaf en Noydekin(?),6,134,Gheuiel dat si .i. hert vinghen
Calfstaf en Noydekin(?),6,135,Si deelden den hert in .iiij. quartieren
Calfstaf en Noydekin(?),6,136,Die liebart sprac ten andren dieren
Calfstaf en Noydekin(?),6,137,Deen stic nemic alse here
Calfstaf en Noydekin(?),6,138,Dander dat ic liep soe sere
Calfstaf en Noydekin(?),6,139,Des derds magic niet faelgieren
Calfstaf en Noydekin(?),6,140,Want ic ben sterx van ons viere
Calfstaf en Noydekin(?),6,141,Die tfierde stic name hi soude
Calfstaf en Noydekin(?),6,142,Daer om hebben mine onhoude
Calfstaf en Noydekin(?),6,143,Dus hadde hi den hert allene
Calfstaf en Noydekin(?),6,144,Die si vinghen alghemene
Calfstaf en Noydekin(?),6,145,Bi deser fauelen soe bespellet
Calfstaf en Noydekin(?),6,146,Die an heerscap es ghesellet
Calfstaf en Noydekin(?),7,147,HEt was .i. dief die huwen soude
Calfstaf en Noydekin(?),7,148,Doer sinen wille ende doer sine houde
Calfstaf en Noydekin(?),7,149,Quamen siere ghesellen vele
Calfstaf en Noydekin(?),7,150,Te siere brulocht te sinen spele
Calfstaf en Noydekin(?),7,151,Dit sach .i. vroet man ende seide
Calfstaf en Noydekin(?),7,152,Dit spel mach wel vergaen te leide
Calfstaf en Noydekin(?),7,153,Hoert na mi wel lieue ghebure
Calfstaf en Noydekin(?),7,154,Ic sal v segghen .i. auenture
Calfstaf en Noydekin(?),7,155,Die sonne wilde tenen tiden beghinnen
