author,chapter,line,text
Hein van Aken,DIE ROSE,1,"Het seit menech, dat in drome"
Hein van Aken,DIE ROSE,2,"Niet el en es dan idele gome,"
Hein van Aken,DIE ROSE,3,Logene ende ongewarechede;
Hein van Aken,DIE ROSE,4,Nochtan heeft men ter meneger stede
Hein van Aken,DIE ROSE,5,Dicke die drome vonden waer
Hein van Aken,DIE ROSE,6,"Ende die dinc gescien daer naer,"
Hein van Aken,DIE ROSE,7,Alsi in drome waren gesien.
Hein van Aken,DIE ROSE,8,"So wie dat wille houden in dien,"
Hein van Aken,DIE ROSE,9,"Dat ic doer ben ende sot,"
Hein van Aken,DIE ROSE,10,Ine houde drome niet over spot:
Hein van Aken,DIE ROSE,11,"Men hefse dicke waer ondervonden,"
Hein van Aken,DIE ROSE,12,Alse wi horen wel orconden
Hein van Aken,DIE ROSE,13,"Enen auctoer, die Macrobes hiet,"
Hein van Aken,DIE ROSE,14,(Hine houtse over logene niet)
Hein van Aken,DIE ROSE,15,Die bescreef dat vision
Hein van Aken,DIE ROSE,16,Vanden coninc Scipion.
Hein van Aken,DIE ROSE,17,"Te minen rechten XX jaren,"
Hein van Aken,DIE ROSE,18,Alse minne neemt al sonder sparen
Hein van Aken,DIE ROSE,19,"Van jongen lieden haren tsens,"
Hein van Aken,DIE ROSE,20,Doe lagic in een groet gepens
Hein van Aken,DIE ROSE,21,"Op mijn bedde, ende wert bevaen"
Hein van Aken,DIE ROSE,22,Met enen slape; also saen
Hein van Aken,DIE ROSE,23,"So quam mi een droem te voren,"
Hein van Aken,DIE ROSE,24,Dien gi hier selt mogen horen
Hein van Aken,DIE ROSE,25,"Van woerde te woerde ende anders niet,"
Hein van Aken,DIE ROSE,26,"En si algader so gesciet,"
Hein van Aken,DIE ROSE,27,Gelijc die droem mi dede verstaen.
Hein van Aken,DIE ROSE,28,"Dies gijt selt teer van mi ontfaen,"
Hein van Aken,DIE ROSE,29,Salic u in Dietsche ontbenden
Hein van Aken,DIE ROSE,30,"Den droem, dien ghi al waer selt venden."
Hein van Aken,DIE ROSE,31,"Ware vrouw ocht here die vrien woude,"
Hein van Aken,DIE ROSE,32,Hoemen dit boec heten soude:
Hein van Aken,DIE ROSE,33,"Die Rose seggic dat heten sal,"
Hein van Aken,DIE ROSE,34,Want daer es in besloten al
Hein van Aken,DIE ROSE,35,"Die art van minnen geellike,"
Hein van Aken,DIE ROSE,36,Die materie es scone ende rike.
Hein van Aken,DIE ROSE,37,"Nu moete God onse Here geven,"
Hein van Aken,DIE ROSE,38,"Dat hare, daer ict dore opheven"
Hein van Aken,DIE ROSE,39,"Hebbe, moete behagen alsoe,"
Hein van Aken,DIE ROSE,40,"Dat sijt ontfa, so waer ic vroe;"
Hein van Aken,DIE ROSE,41,Want icse vor al die werelt minne:
Hein van Aken,DIE ROSE,42,"Hets recht, want sijs Rose van minen sinne."
Hein van Aken,DIE ROSE,43,"In minen drome, daer ic in lach,"
Hein van Aken,DIE ROSE,44,Dochte mi dat ic die werelt sach
Hein van Aken,DIE ROSE,45,"Scone versiert ende al vergroit,"
Hein van Aken,DIE ROSE,46,"Die alden winter was vermoit,"
Hein van Aken,DIE ROSE,47,"Ende dat was in Meyes tide,"
Hein van Aken,DIE ROSE,48,Dattie voglen waren blide.
Hein van Aken,DIE ROSE,49,Die bome worpen nuwe blat;
Hein van Aken,DIE ROSE,50,"Die erde wart van dauwe nat,"
Hein van Aken,DIE ROSE,51,Die den winter verdort stoet:
Hein van Aken,DIE ROSE,52,Si acht nu wel lettel goet
Hein van Aken,DIE ROSE,53,"Wat hare die felle winter weet,"
Hein van Aken,DIE ROSE,54,"Maer parert hare nu gereet,"
Hein van Aken,DIE ROSE,55,Ende gaet hare behagelike versieren.
Hein van Aken,DIE ROSE,56,Si maect van meneger manieren
Hein van Aken,DIE ROSE,57,"Cleder, meer dan C paer,"
Hein van Aken,DIE ROSE,58,"Van cruden, van blomen, dats waer."
Hein van Aken,DIE ROSE,59,"Roede, gelu, wit ende groene:"
Hein van Aken,DIE ROSE,60,Si siert hare in allen doene.
Hein van Aken,DIE ROSE,61,"Die voglen singen menechfoude,"
Hein van Aken,DIE ROSE,62,Die dore des felles winters coude
Hein van Aken,DIE ROSE,63,"Hebben in bedwange gelegen,"
Hein van Aken,DIE ROSE,64,Die hebben nu te lange geswegen;
Hein van Aken,DIE ROSE,65,"Beide nachtegale ende calandren,"
Hein van Aken,DIE ROSE,66,Die papegay oec metten andren
Hein van Aken,DIE ROSE,67,"Die singen menegerande noten,"
Hein van Aken,DIE ROSE,68,Daer si sitten met haren roten.
Hein van Aken,DIE ROSE,69,In desen tiden souden minnen
Hein van Aken,DIE ROSE,70,Die jonge lieden in alle sinnen
Hein van Aken,DIE ROSE,71,"Dore den oversoeten tijt,"
Hein van Aken,DIE ROSE,72,Die danne es in die werelt wijt:
Hein van Aken,DIE ROSE,73,Hi es al te hart ende vol van nide.
Hein van Aken,DIE ROSE,74,Die niet en mint in desen tide.
Hein van Aken,DIE ROSE,75,In desen tide so was dat icke
Hein van Aken,DIE ROSE,76,Lach ende droemde een lanc sticke.
Hein van Aken,DIE ROSE,77,"mi dochte alsoe daer ic lach,"
Hein van Aken,DIE ROSE,78,"Dat het vroech was ane den dach,"
Hein van Aken,DIE ROSE,79,"Ende ic stont op sonder vernoyen,"
Hein van Aken,DIE ROSE,80,"Ende ginc mi cledren ende scoyen,"
Hein van Aken,DIE ROSE,81,Ende dwoech mine hande mede.
Hein van Aken,DIE ROSE,82,Ute enen ziede dat ic doe dede
Hein van Aken,DIE ROSE,83,"Een cleine zelverijn naeldekin,"
Hein van Aken,DIE ROSE,84,Dat zuverleker nine mochte sijn.
Hein van Aken,DIE ROSE,85,"Doe vessemdic die naelde saen,"
Hein van Aken,DIE ROSE,86,"Ende bem dus uter stat gegaen,"
Hein van Aken,DIE ROSE,87,"Allene, bestende mine mouwen,"
Hein van Aken,DIE ROSE,88,Om dat ic horen woude ende scouwen
Hein van Aken,DIE ROSE,89,"Der voglen zanc, die menechfoude"
Hein van Aken,DIE ROSE,90,Sere songen achter woude.
Hein van Aken,DIE ROSE,91,Om den zoeten nuwen tijt
Hein van Aken,DIE ROSE,92,"Soe hadden si so groet delijt,"
Hein van Aken,DIE ROSE,93,"Dat si sere te stride songen,"
Hein van Aken,DIE ROSE,94,Elkerlic na sire tongen.
Hein van Aken,DIE ROSE,95,Dus gingic na haren zanc
