author,chapter,line,text
Onbekend,PROLOGHE.,1,INDEN yrsten aenroepic Gode /
Onbekend,PROLOGHE.,2,Daer ic ghelove ende ghebode
Onbekend,PROLOGHE.,3,Af houde / ende bidde hem dat hi
Onbekend,PROLOGHE.,4,Mijn troeste ende mijn hulpe si
Onbekend,PROLOGHE.,5,Dat ic dit Boexken volbringhe
Onbekend,PROLOGHE.,6,Dat ic beghinne handelinghe /
Onbekend,PROLOGHE.,7,Dat ic gherne gheven soude /
Onbekend,PROLOGHE.,8,Op dats mi God onnen woude /
Onbekend,PROLOGHE.,9,Minen lieven here den hertoghe
Onbekend,PROLOGHE.,10,Van Brabant / dien God verhoghe
Onbekend,PROLOGHE.,11,Beyde an ziele ende aen live;
Onbekend,PROLOGHE.,12,Want al dat ic hier scrive
Onbekend,PROLOGHE.,13,Dats troest ende raet uutvercoren /
Onbekend,PROLOGHE.,14,Die den lants here toe behoren:
Onbekend,PROLOGHE.,15,Ende meneghe wijsheit / daer toe wet /
Onbekend,PROLOGHE.,16,Vindi in dit boec gheset /
Onbekend,PROLOGHE.,17,Al gheproeft metter waerheyt /
Onbekend,PROLOGHE.,18,In menech scoen auctoriteyt
Onbekend,PROLOGHE.,19,Dat die wise wilen screven
Onbekend,PROLOGHE.,20,Die ons noch toe sijn bleven /
Onbekend,PROLOGHE.,21,Hoe hem een mensche troesten sal
Onbekend,PROLOGHE.,22,Ieghen scade ende ongheval.
Onbekend,PROLOGHE.,23,Want vele liede sijn so cranc gemoet /
Onbekend,PROLOGHE.,24,Als si scade hebben of rampspoet /
Onbekend,PROLOGHE.,25,Dat si hem selven so verstaen
Onbekend,PROLOGHE.,26,Dat si al te nieute gaen /
Onbekend,PROLOGHE.,27,Ende en soeken ghenen troest
Onbekend,PROLOGHE.,28,Daer si bi worden verloest;
Onbekend,PROLOGHE.,29,Of si sijn also bereet
Onbekend,PROLOGHE.,30,Ende ter wraken also heet /
Onbekend,PROLOGHE.,31,Dat si hem selven sonder noet
Onbekend,PROLOGHE.,32,Werpen in vernoeye groet /
Onbekend,PROLOGHE.,33,Dies hem niet en soude ghescien
Onbekend,PROLOGHE.,34,Wouden si vroeds raeds plien.
Onbekend,PROLOGHE.,35,Dit boec leghet in latine /
Onbekend,PROLOGHE.,36,Dat ic u met mire pine
Onbekend,PROLOGHE.,37,In dietsche vertrecke so ic best can /
Onbekend,PROLOGHE.,38,Eest dats mi God onse Here an
Onbekend,PROLOGHE.,39,Die selve spreect / alsmen daer siet:
Onbekend,PROLOGHE.,40,"""Sonder mi en moghedi doen niet."""
Onbekend,PROLOGHE.,41,Al t' Andwerpen / daer ic wone /
Onbekend,PROLOGHE.,42,Maecte ic dit boexken scone.
Onbekend,PROLOGHE.,43,Wildi des boecx name weten /
Onbekend,PROLOGHE.,44,Melibeus sal hi heten;
Onbekend,PROLOGHE.,45,Want het op dien man beghint
Onbekend,PROLOGHE.,46,Ende oec middelt ende int /
Onbekend,PROLOGHE.,47,Alsoes meester Albertanus
Onbekend,PROLOGHE.,48,In latine dichte aldus.
Onbekend,PROLOGHE.,49,Van Bris was hi uter stat
Onbekend,PROLOGHE.,50,Also bescreef hi selve dat.
Onbekend,PROLOGHE.,51,Oec bescrijft hi wel voerwaer /
Onbekend,PROLOGHE.,52,Dat hi dit boec maecte int jaer
Onbekend,PROLOGHE.,53,Xijc / dat ghi dat wet /
Onbekend,PROLOGHE.,54,Ende .xlvj. daer toe met.
Onbekend,PROLOGHE.,55,So wie dat dit boec ghewint
Onbekend,PROLOGHE.,56,Ende leest / ende wel versint
Onbekend,PROLOGHE.,57,Moets emmer te beter wesen
Onbekend,PROLOGHE.,58,Op dat hijt dicke wilt overlesen
Onbekend,PROLOGHE.,59,Want die auctoriteyte rueren
Onbekend,PROLOGHE.,60,Uter heyligher Scrifturen
Onbekend,PROLOGHE.,61,Uten loye decretale
Onbekend,PROLOGHE.,62,Ende uten lereren also wale
Onbekend,PROLOGHE.,63,Also dat latijn houdt in.
Onbekend,PROLOGHE.,64,Nu hoert hier dat beghin.
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",65,65 DIt boec beghint aldus:
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",66,Een man was / hiet Melibeus /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",67,Die mechtich / jonc ende rijc was.
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",68,Op enen tijt luste hem das
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",69,Dat hi van huus woude tiden /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",70,Ende hem verwandelen riden
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",71,Opten velde verre buten.
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",72,Sine woninge dede hi sluten
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",73,Alomme ende omme harde wale
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",74,Ende liet daer in ten selven male
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",75,Sijn wijf / die hiet Prudentia /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",76,Ende sijn dochter / alsic versta /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",77,Die hi minde harde sere.
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",78,Doen dus henen was die here /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",79,Quamen .iij. sijnre vianden
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",80,Die met lederen al te handen
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",81,Ten vinsteren clommen in /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",82,Ende en spaerden meer no min /
Onbekend,"Van Melibeus onverduldecheit, ende van vrouwe Prudentien troeste. Cap. I.",83,Maer sloeghen die vrouwe jammerlijc /
