author,chapter,line,text
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",1,"Die aventure doet ons cont,"
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",2,Dattie coninc nu ter stont
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",18605,Hilt enen groten hof
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",4,Om te meerren sinen lof.
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",5,"Drie dusent ridders, over waer,"
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",6,"Waren nu ten etene daer,"
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",7,Ende drie hondert ridders tallen stonden
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",18610,"Waren daer vander tavelronden,"
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",9,Die altoes waren met Arture.
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",10,Nu seget ons die aventure
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",11,Dattie coninc Waleweine beval
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",12,"Sijn lant te achterwaerne al,"
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",18615,Ende al dat hi dade dat ware gedaen.
Onbekend,"XLIII.  Hoe Keye Waleweine verriet, ende hoe Walewein die joncfrouwe uten borre verloeste.",14,"Dit beneet Keye saen,"
