author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Woudi niet gram daer omme zijn
Onbekend,Onbekend Hoofdstuk,2,Dat ic gheerne zoude claghen
Onbekend,Onbekend Hoofdstuk,3,Ende in biechten u ghewaghen
Onbekend,Onbekend Hoofdstuk,4,Als die bem u vleesch ende u bloet
Onbekend,Onbekend Hoofdstuk,5,Ende wistic eneghe dinc dan goet
Onbekend,Onbekend Hoofdstuk,6,Die u te nosen mochte comen
Onbekend,Onbekend Hoofdstuk,7,Te scanden of te onvromen
Onbekend,Onbekend Hoofdstuk,8,Heeldic die so waric quaet
Onbekend,Onbekend Hoofdstuk,9,Florant sprac eduwaert nu so laet
Onbekend,Onbekend Hoofdstuk,10,Horen wat hebdi vor hande
Onbekend,Onbekend Hoofdstuk,11,Daer mi scade ende scande
Onbekend,Onbekend Hoofdstuk,12,Of comen mochte het ware goet
Onbekend,Onbekend Hoofdstuk,13,Dat te tiden ware verhoet
Onbekend,Onbekend Hoofdstuk,14,Ende dat ics hem nu ende echt
Onbekend,Onbekend Hoofdstuk,15,Danc wiste ware recht
Onbekend,Onbekend Hoofdstuk,16,Die mi dat te voren brochte
Onbekend,Onbekend Hoofdstuk,17,Dat ic dat beletten mochte
Onbekend,Onbekend Hoofdstuk,18,Sout ghevallen of ghescien
Onbekend,Onbekend Hoofdstuk,19,Ic bidde u berechtes mien
Onbekend,Onbekend Hoofdstuk,20,Nemet dan wel lieve heere
Onbekend,Onbekend Hoofdstuk,21,Het deert miere herten zeere
Onbekend,Onbekend Hoofdstuk,22,Dat ic metten oghen zie
Onbekend,Onbekend Hoofdstuk,23,Dat so grote compangie
Onbekend,Onbekend Hoofdstuk,24,Hevet die heere van couchi
Onbekend,Onbekend Hoofdstuk,25,Met miere vrouwen want also vri
Onbekend,Onbekend Hoofdstuk,26,Ne zach ic nye wijf no man
Onbekend,Onbekend Hoofdstuk,27,Na dat ic ghemerken can
Onbekend,Onbekend Hoofdstuk,28,Ende ic menichwaerven zie
Onbekend,Onbekend Hoofdstuk,29,So es het amijs ende amye
Onbekend,Onbekend Hoofdstuk,30,Of mi ne bedriecht mijn waen
Onbekend,Onbekend Hoofdstuk,31,Ic zie uwes cleine gade slaen
Onbekend,Onbekend Hoofdstuk,32,Miere vrouwen beatrijs
Onbekend,Onbekend Hoofdstuk,33,Ende ic ben te voren wijs
Onbekend,Onbekend Hoofdstuk,34,Dat ter feesten van couchi
Onbekend,Onbekend Hoofdstuk,35,Was ghequetst dhertoge vri
Onbekend,Onbekend Hoofdstuk,36,Van zinen neve om haren wille
Onbekend,Onbekend Hoofdstuk,37,Ende dat zi in ghescille
Onbekend,Onbekend Hoofdstuk,38,Eerst quamen om een verwijt
Onbekend,Onbekend Hoofdstuk,39,Ende dat hi in een crijt
Onbekend,Onbekend Hoofdstuk,40,Den oem beriep dat was om hare
Onbekend,Onbekend Hoofdstuk,41,Ende daer so hadde ander mare
Onbekend,Onbekend Hoofdstuk,42,Of ghecomen cortelijc
Onbekend,Onbekend Hoofdstuk,43,Ne waer die coninc lodewijc
Onbekend,Onbekend Hoofdstuk,44,Dat mi te zegghen es te groot
Onbekend,Onbekend Hoofdstuk,45,Maer al soudic bliven doot
Onbekend,Onbekend Hoofdstuk,46,Ic moet quiten mine trouwe
Onbekend,Onbekend Hoofdstuk,47,Men soude den grave entie vrouwe
Onbekend,Onbekend Hoofdstuk,48,Eene ure niet versceden zien
Onbekend,Onbekend Hoofdstuk,49,Bin alden daghe gheloves mien
Onbekend,Onbekend Hoofdstuk,50,Ende als hi es uter steden
Onbekend,Onbekend Hoofdstuk,51,[...............]
Onbekend,Onbekend Hoofdstuk,52,Vor hire weder binnen [....]
Onbekend,Onbekend Hoofdstuk,53,Si connent wel zegghen daer
Onbekend,Onbekend Hoofdstuk,54,Sijn die lieden al ghemeene
Onbekend,Onbekend Hoofdstuk,55,Heere mijn hets u te cleene
Onbekend,Onbekend Hoofdstuk,56,Dat ghijt hebt ghedoocht so lange
Onbekend,Onbekend Hoofdstuk,57,Het schijnt dat hi bi bedwange
Onbekend,Onbekend Hoofdstuk,58,U die vrouwe ontfortsen zal
Onbekend,Onbekend Hoofdstuk,59,So die lieden over al
Onbekend,Onbekend Hoofdstuk,60,Wel connen zegghen ende borderen
Onbekend,Onbekend Hoofdstuk,61,Ende daer mede maken sceren
Onbekend,Onbekend Hoofdstuk,62,Om die redene entie woort
Onbekend,Onbekend Hoofdstuk,63,Die de nideghe brochte voort
Onbekend,Onbekend Hoofdstuk,64,Wart florant die oude heere
Onbekend,Onbekend Hoofdstuk,65,Bescaemt boven maten zere
Onbekend,Onbekend Hoofdstuk,66,Ende slouch zijn hovet neder
Onbekend,Onbekend Hoofdstuk,67,Peinsende voort ende weder
Onbekend,Onbekend Hoofdstuk,68,Al die tale hi wel verstoet
Onbekend,Onbekend Hoofdstuk,69,Die hi vaste int herte loet
Onbekend,Onbekend Hoofdstuk,70,Het was hem te hoorne zware
Onbekend,Onbekend Hoofdstuk,71,Dat hi in zine oude jare
Onbekend,Onbekend Hoofdstuk,72,Van haer zoude moeten hebben blame
Onbekend,Onbekend Hoofdstuk,73,Dien hi minde als zijn lichame
Onbekend,Onbekend Hoofdstuk,74,Als zine ziele als zijn lijf
Onbekend,Onbekend Hoofdstuk,75,Waeret also dat men zijn wijf
Onbekend,Onbekend Hoofdstuk,76,Ontminde hi ware hem liever doot
Onbekend,Onbekend Hoofdstuk,77,Ende men soude hem tyen bloot
Onbekend,Onbekend Hoofdstuk,78,Dat het zine outheit dade
Onbekend,Onbekend Hoofdstuk,79,Joide die vrouwe buten pade
Onbekend,Onbekend Hoofdstuk,80,Of dat daer of liepe mare
Onbekend,Onbekend Hoofdstuk,81,Want hi kende wel dat ware
Onbekend,Onbekend Hoofdstuk,82,Dat zi met andren waren vry
Onbekend,Onbekend Hoofdstuk,83,Ende met elc andren gheerne bi
Onbekend,Onbekend Hoofdstuk,84,Waren vrouch ende spade
Onbekend,Onbekend Hoofdstuk,85,Maer hi ne deder zine scade
Onbekend,Onbekend Hoofdstuk,86,Noynt te eenighen tiden inne
Onbekend,Onbekend Hoofdstuk,87,Dat daer eeneghe lose minne
Onbekend,Onbekend Hoofdstuk,88,Ofte fraude in mochte wesen
Onbekend,Onbekend Hoofdstuk,89,Si waren beide so ghepresen
Onbekend,Onbekend Hoofdstuk,90,In allen duechdeliken love
Onbekend,Onbekend Hoofdstuk,91,Ende daer toe in elken hove
Onbekend,Onbekend Hoofdstuk,92,Dat zi niet zouden in enegher blamen
Onbekend,Onbekend Hoofdstuk,93,Willen hare goede namen
Onbekend,Onbekend Hoofdstuk,94,V[.....] en ofte bringhen
Onbekend,Onbekend Hoofdstuk,95,Nemmermeer haddi in dien dinghen
Onbekend,Onbekend Hoofdstuk,96,Eenich men[.....] ghemaect
Onbekend,Onbekend Hoofdstuk,97,Of hem beiden oynt ghelaect
Onbekend,Onbekend Hoofdstuk,98,Ne hadde ghedaen [.......]
