author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Ghetrouwe lief ende vol eeren,"
Onbekend,Onbekend Hoofdstuk,2,"Hoer wat ic u sal leeren,"
Onbekend,Onbekend Hoofdstuk,3,"Aristotelus philosomie,"
Onbekend,Onbekend Hoofdstuk,4,"Als ic in sine boeke sie,"
Onbekend,Onbekend Hoofdstuk,5,"So sal ic in Dietsche vertrecken,"
Onbekend,Onbekend Hoofdstuk,6,Hoe ghi zult merken ende mecken
Onbekend,Onbekend Hoofdstuk,7,Van wat natueren die mensche sy;
Onbekend,Onbekend Hoofdstuk,8,"Wildijt weten, hoert na mi."
Onbekend,Onbekend Hoofdstuk,9,"Hevet een mensche, des gheloeft,"
Onbekend,Onbekend Hoofdstuk,10,"Dat haer wit op zijn hoeft,"
Onbekend,Onbekend Hoofdstuk,11,Dat diet hi es plomb van sinne;
Onbekend,Onbekend Hoofdstuk,12,"Ende hevet hi karsp haer, als ic't kinne,"
Onbekend,Onbekend Hoofdstuk,13,So es hi emmer omme winninghe ghier.
Onbekend,Onbekend Hoofdstuk,14,"Hanct hem 't haer, nu merct hier,"
Onbekend,Onbekend Hoofdstuk,15,"Seere ghewassen an't voerhoeft,"
Onbekend,Onbekend Hoofdstuk,16,"So es hi vroet, des gheloeft."
Onbekend,Onbekend Hoofdstuk,17,"Die bruun haer heeft, redelike dinne,"
Onbekend,Onbekend Hoofdstuk,18,"Hi es van eenen goeden sinne,"
Onbekend,Onbekend Hoofdstuk,19,Ende hi es te male van goeden seden.
Onbekend,Onbekend Hoofdstuk,20,"Die 't hoeft heeft, na die ander leden,"
Onbekend,Onbekend Hoofdstuk,21,"Al te groet, dat's een sot,"
Onbekend,Onbekend Hoofdstuk,22,"Maer een cort hoeft, sonder spot,"
Onbekend,Onbekend Hoofdstuk,23,"Ende ghecloven, diet een mensche sonder sin,"
Onbekend,Onbekend Hoofdstuk,24,Ende en hevet gheene memorie in.
Onbekend,Onbekend Hoofdstuk,25,"Maer een plomb hoeft, wel te maten groet,"
Onbekend,Onbekend Hoofdstuk,26,"Diet eenen besceedenen mensche, des gheloeft,"
Onbekend,Onbekend Hoofdstuk,27,Ende eenen vromen over al.
Onbekend,Onbekend Hoofdstuk,28,"Heeft hi 't voerhoeft al te smal,"
Onbekend,Onbekend Hoofdstuk,29,"Dat bediet een ongheleeret wesen,"
Onbekend,Onbekend Hoofdstuk,30,"Ende al te gier, alse wi lesen."
Onbekend,Onbekend Hoofdstuk,31,"Hevet eene een wit voerhoeft,"
Onbekend,Onbekend Hoofdstuk,32,"Die es besceeden, des gheloeft;"
Onbekend,Onbekend Hoofdstuk,33,"Een oemoedech voerhoeft, hoert na mi,"
Onbekend,Onbekend Hoofdstuk,34,"Ende een hangde daer bi,"
Onbekend,Onbekend Hoofdstuk,35,"Dat bediet, bi waerheden,"
Onbekend,Onbekend Hoofdstuk,36,"Eenen scamelen, sonder dorperheden."
Onbekend,Onbekend Hoofdstuk,37,"Een viercantich voerhoeft bloet,"
Onbekend,Onbekend Hoofdstuk,38,"Ende dat wel te maten groet,"
Onbekend,Onbekend Hoofdstuk,39,"Dat bediet groete wijsheit,"
Onbekend,Onbekend Hoofdstuk,40,Ende daer toe groete besceedenheit.
Onbekend,Onbekend Hoofdstuk,41,"Sijn die wincbrauwen, boven der nasen,"
Onbekend,Onbekend Hoofdstuk,42,"Te gader ghewassen, alse wi lasen,"
Onbekend,Onbekend Hoofdstuk,43,"Dat bediet eenen subtilen, die hem wel versteet,"
Onbekend,Onbekend Hoofdstuk,44,"Ende een arenstachegen, als ic weet,"
Onbekend,Onbekend Hoofdstuk,45,"Ende wint dese mensche een kint,"
Onbekend,Onbekend Hoofdstuk,46,Dat sal zijn droeve ende onghesint.
Onbekend,Onbekend Hoofdstuk,47,"Ende tusschen die wintbrauwen zijn bloet,"
Onbekend,Onbekend Hoofdstuk,48,"Ende den slaep hebben wijt ende groet,"
Onbekend,Onbekend Hoofdstuk,49,"Ende die liere ghespiet daer an,"
Onbekend,Onbekend Hoofdstuk,50,Ende dat diet een roekeloes man.
Onbekend,Onbekend Hoofdstuk,51,"Sijn die wintbrauwen lanc ende dicke,"
Onbekend,Onbekend Hoofdstuk,52,Dat's een vroet mensche als ic micke.
Onbekend,Onbekend Hoofdstuk,53,"Claer oegen, te maten bruun bi lieden,"
Onbekend,Onbekend Hoofdstuk,54,Moeten goede seden bedieden.
Onbekend,Onbekend Hoofdstuk,55,"Oegen die ghedichte rueren,"
