author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Noch we[ten si] hier binne[n] en[e] po[ster]ne
Onbekend,Onbekend Hoofdstuk,2,Die ghi te rechte mocht w[eten] gherne
Onbekend,Onbekend Hoofdstuk,3,Ende tharen bouf was wylen eer
Onbekend,Onbekend Hoofdstuk,4,Ghemaect le porte dou feer
Onbekend,Onbekend Hoofdstuk,5,In te [va]erne of mens hadde te doene
Onbekend,Onbekend Hoofdstuk,6,Als dit [ho]orden die sarragoene
Onbekend,Onbekend Hoofdstuk,7,Waren sijs vtermaten blide
Onbekend,Onbekend Hoofdstuk,8,Verstaet die poorte was tier tide
Onbekend,Onbekend Hoofdstuk,9,[V]an der sted[en] an den anderen ent
Onbekend,Onbekend Hoofdstuk,10,[D]a[t] die brugghe stont si v bekent
Onbekend,Onbekend Hoofdstuk,11,[D]aer te treckene waren payenen beraden
Onbekend,Onbekend Hoofdstuk,12,[N]v h[o]ort wat die kerstine daden
Onbekend,Onbekend Hoofdstuk,13,En [de] dat casteel stont woeste [n]v
Onbekend,Onbekend Hoofdstuk,14,Payenen d[ie] war[e ic] v
Onbekend,Onbekend Hoofdstuk,15,Traker in een ende een
Onbekend,Onbekend Hoofdstuk,16,Buten traken noch negheen
Onbekend,Onbekend Hoofdstuk,17,Si wilden daer biden bi staden
Onbekend,Onbekend Hoofdstuk,18,Ende kerstine also verraden
Onbekend,Onbekend Hoofdstuk,19,So si daden nv hoort hoet voer
Onbekend,Onbekend Hoofdstuk,20,Si wachten aldus har[e]n th[oer]
Onbekend,Onbekend Hoofdstuk,21,Int ende hebbic vernome[n]
Onbekend,Onbekend Hoofdstuk,22,Saghen si .lx. kerstine comen
Onbekend,Onbekend Hoofdstuk,23,Gheuaren die hadden gehaelt proye
Onbekend,Onbekend Hoofdstuk,24,Hem somen salt comen te vernoye
Onbekend,Onbekend Hoofdstuk,25,Dat siere dor den alsb[er]ch woet
Onbekend,Onbekend Hoofdstuk,26,En[de] dor den buuc wel enen voet
Onbekend,Onbekend Hoofdstuk,27,Doe vel hi doot ter erden neder
Onbekend,Onbekend Hoofdstuk,28,Ende reymbaut riep ten kerstinen weder
Onbekend,Onbekend Hoofdstuk,29,Slaet toe wi wreker ons af
Onbekend,Onbekend Hoofdstuk,30,Lude riep hi helpt helech graf
Onbekend,Onbekend Hoofdstuk,31,Dat woord in warer tale
Onbekend,Onbekend Hoofdstuk,32,Plaghen si te roupene alten male
Onbekend,Onbekend Hoofdstuk,33,Als si haer volc wilde[n] vercoenen
Onbekend,Onbekend Hoofdstuk,34,Maer der leder sarragoenen
Onbekend,Onbekend Hoofdstuk,35,Warer vter maten vele
Onbekend,Onbekend Hoofdstuk,36,Met kerstinen moest gaen vten spele
Onbekend,Onbekend Hoofdstuk,37,Hem daer so menech [besic]h h[ilden]
Onbekend,Onbekend Hoofdstuk,38,Ende daer waren so vele scilden
Onbekend,Onbekend Hoofdstuk,39,Te verslane so vele kerstine
Onbekend,Onbekend Hoofdstuk,40,Hi ondankets apolline
Onbekend,Onbekend Hoofdstuk,41,Ende mamette also wel
Onbekend,Onbekend Hoofdstuk,42,Hi slouch darewaerds met hiep fel
Onbekend,Onbekend Hoofdstuk,43,Solanghe voer die hedijn stout
Onbekend,Onbekend Hoofdstuk,44,Dat hi cam al daer reymbaut
Onbekend,Onbekend Hoofdstuk,45,Wrochte in die plache
Onbekend,Onbekend Hoofdstuk,46,Also onscone prouache
Onbekend,Onbekend Hoofdstuk,47,Met sinen zwaerde stalijn
Onbekend,Onbekend Hoofdstuk,48,Ooc mercte hi dat die kerstijn
