author,chapter,line,text
Onbekend,Fragment Brussel/Gent,1,Telker waeruen valt die ween
Onbekend,Fragment Brussel/Gent,2,Emmer vp onse man
Onbekend,Fragment Brussel/Gent,3,Bi den voghet tieruogan
Onbekend,Fragment Brussel/Gent,4,Varen wi meer vut wine hadden succoers
Onbekend,Fragment Brussel/Gent,5,Kerstinen sijn so ialoers
Onbekend,Fragment Brussel/Gent,6,Wi bliuen allegader doot
Onbekend,Fragment Brussel/Gent,7,Bi mamette die mi gheboot
Onbekend,Fragment Brussel/Gent,8,Sprac die conijnc garsioen
Onbekend,Fragment Brussel/Gent,9,Ghi heren in weet wat doen
Onbekend,Fragment Brussel/Gent,10,Ic bliue doot in hebbe troost
Onbekend,Fragment Brussel/Gent,11,Daer ic bliue bi verloost
Onbekend,Fragment Brussel/Gent,12,Voor die kerstine ende ondaen
Onbekend,Fragment Brussel/Gent,13,Dorste hier yemen ten soudaen
Onbekend,Fragment Brussel/Gent,14,Al nv onser boodscap plien
Onbekend,Fragment Brussel/Gent,15,Ons souder doghet of gheschien
Onbekend,Fragment Brussel/Gent,16,Hi om[...]e van sine gh[e.ene]
Onbekend,Fragment Brussel/Gent,17,Ende hi alt heerscap ghemene
Onbekend,Fragment Brussel/Gent,18,Voor hem riepe sonder beide
Onbekend,Fragment Brussel/Gent,19,Dat behoorde binder steide
Onbekend,Fragment Brussel/Gent,20,Doe deit damirael ic weet
Onbekend,Fragment Brussel/Gent,21,Hi omboot voor hem daer an steet
Onbekend,Fragment Brussel/Gent,22,Enech lant of eneghe macht
Onbekend,Fragment Brussel/Gent,23,Doe ne wasser gheen so wel gehacht
Onbekend,Fragment Brussel/Gent,24,Hi ne camer met haesten groot
Onbekend,Fragment Brussel/Gent,25,Als hi hoorde datten die conijnc omboot
Onbekend,Fragment Brussel/Gent,26,DIe conijnc was van daghen oud
Onbekend,Fragment Brussel/Gent,27,Wanneer hi payenen stoud
Onbekend,Fragment Brussel/Gent,28,Versaemt sach in sine zale
Onbekend,Fragment Brussel/Gent,29,Sprac hi te hem dese tale
Onbekend,Fragment Brussel/Gent,30,Ghi heren hets an mine oude gegha[en]
Onbekend,Fragment Brussel/Gent,31,[Helpt] mamet en[de] apolijn
Onbekend,Fragment Brussel/Gent,32,Sal onse conijnc fijn
Onbekend,Fragment Brussel/Gent,33,Aldus verliesen sijn lijf
Onbekend,Fragment Brussel/Gent,34,Ay mi riepen die kaytijf
Onbekend,Fragment Brussel/Gent,35,Wat sullen wi doen aylaes
Onbekend,Fragment Brussel/Gent,36,Dese kerstine sathanaes
Onbekend,Fragment Brussel/Gent,37,Sullen ons nv al ontheruen
Onbekend,Fragment Brussel/Gent,38,Ende iamerlike doen steruen
Onbekend,Fragment Brussel/Gent,39,GHemeenlike die heren
Onbekend,Fragment Brussel/Gent,40,Waren al beuaen met zere
Onbekend,Fragment Brussel/Gent,41,Ende weenden al om den rijnc
Onbekend,Fragment Brussel/Gent,42,Bin dien becam die conijnc
Onbekend,Fragment Brussel/Gent,43,Van der ommacht daer hi in was
Onbekend,Fragment Brussel/Gent,44,Alle verbliden si das
Onbekend,Fragment Brussel/Gent,45,Ende seiden here ghebenedijt
Onbekend,Fragment Brussel/Gent,46,ALs si waren ghewapint doe
Onbekend,Fragment Brussel/Gent,47,Was die conijnc sere vroe
Onbekend,Fragment Brussel/Gent,48,Vp paerden spronghen si doe ghereedde
Onbekend,Fragment Brussel/Gent,49,Ter poorten die men hem ondeide
Onbekend,Fragment Brussel/Gent,50,Voeren si vute ghereet
Onbekend,Fragment Brussel/Gent,51,Seker ic dat wel weet
Onbekend,Fragment Brussel/Gent,52,Datse onse kerstine versaghen
Onbekend,Fragment Brussel/Gent,53,Doe ne wasder gheen langher daghen
Onbekend,Fragment Brussel/Gent,54,Te voren waren ghewapint si
Onbekend,Fragment Brussel/Gent,55,Vp paerden spronghen die heren vri
Onbekend,Fragment Brussel/Gent,56,Ende namen scachten ende scilden
Onbekend,Fragment Brussel/Gent,57,Elc harer wel deerste sijn wilde
Onbekend,Fragment Brussel/Gent,58,Dat scheen wel daer si dorssen cachen
Onbekend,Fragment Brussel/Gent,59,Dat si ghewillech waren prouaetsen
Onbekend,Fragment Brussel/Gent,60,Te doene staerc ende root
