author,chapter,line,text
Onbekend,[........],1,........
Onbekend,[........],2,"Den tornoy, was mi gheseit,"
Onbekend,[........],3,Was te gaver seer bi gheleyt.
Onbekend,[........],4,"den dach quam cort ende naecte,"
Onbekend,[........],5,"Dat elc om tornieren ghereescap maecte,"
Onbekend,[........],5,So si best mochten in allen keere.
Onbekend,[........],7,Van gaver die edel vroom joncheere
Onbekend,[........],8,"dede maken tornikeel ende scilt,"
Onbekend,[........],9,Met eenre glavien doorsteken den vilt.
Onbekend,[........],10,Seer costelic was hi ende oock goet:
Onbekend,[........],10,"Gaver capeel, als ic verstoet,"
Onbekend,[........],12,So was al omme wel ghemaect
Onbekend,[........],13,met schone letteren wel gheraect.
Onbekend,[........],14,"Een paert had hi, des was hi blide,"
Onbekend,[........],15,"Het beste datmen vant in ungarie,"
Onbekend,[........],15,Dat hem die coninghinne hadde ghegeven.
Onbekend,[........],17,Hi hadde die wapen die hem was bleven
Onbekend,[........],18,Vanden soudaen van turken lant.
Onbekend,[........],19,Ick wane datmen gheen beter en vant
Onbekend,[........],20,"In kerstenhede, aen gheene side:"
Onbekend,[........],20,Men mochtse doorhouden te ghenen tide.
Onbekend,[........],22,dat mochtmen mercken aenden soudaen
Onbekend,[........],23,Doe hem die joncheer hadde bestaen.
Onbekend,[........],24,Den dach quam als dat die heeren
Onbekend,[........],25,Vergadert waren met groter eeren.
Onbekend,[........],25,Menighe lantsvrouwe ende joncfrouwen
Onbekend,[........],27,Mochtmen daer ten tornoy aenscouwen.
Onbekend,[........],28,die vrome joncheer wert seer bekeken
Onbekend,[........],29,"Van hem allen, dat weet ick wel."
Onbekend,[........],30,"Met .xij. paerden, hoordic verclaren,"
Onbekend,[........],30,Quam hi ghereden in die bane.
Onbekend,[........],32,Menich joncheer ende knapen
Onbekend,[........],33,"Quamer seer eerliken in die wapen,"
Onbekend,[........],34,"Wt menighen lande, verde ofte naer."
Onbekend,[........],35,Elck meynde prijs te hebben daer.
Onbekend,[........],35,"Die grave van vlaenderen, alsmen my seide,"
Onbekend,[........],37,Lach met sijnre vrouwen op daleye;
Onbekend,[........],38,"daer alder naest van gaver die vrouwe,"
Onbekend,[........],39,diemen mocht aenscouwen met rouwe.
Onbekend,[........],40,Cort hier naer so ghincmer steken.
Onbekend,[........],40,Menich spere so ghincmer breken
Onbekend,[........],42,Haestelic in seer corter stont.
Onbekend,[........],43,Des joncheeren van gaver was seer ront
Onbekend,[........],44,"Groot, sterc, met allen swaer."
Onbekend,[........],45,Van yemant en ontsach hi hem een haer.
Onbekend,[........],45,Dat sachmen aen sijn steken wel;
Onbekend,[........],47,die menighe van hem ter aerden vel.
Onbekend,[........],48,Dies si toornich waren ende gram.
Onbekend,[........],49,"Eer dat den dach ten avont quam,"
Onbekend,[........],50,"daer en mocht niemant, cleyn noch groot,"
Onbekend,[........],50,Den here van gaver houden root;
Onbekend,[........],52,Ick wane datter luttel yemant was
Onbekend,[........],53,Hi en hadse ghesteken meest int gras.
