author,chapter,line,text
Onbekend,DIT ES VAN MASKEROEN.,1,PROLOGHE.
Onbekend,DIT ES VAN MASKEROEN.,2,DOE die Gods Sone menschelike
Onbekend,DIT ES VAN MASKEROEN.,3,Wandelde hier op eertrike /
Onbekend,DIT ES VAN MASKEROEN.,4,Plaghene die viande vander hellen
Onbekend,DIT ES VAN MASKEROEN.,5,In menigher manieren te quellen
Onbekend,DIT ES VAN MASKEROEN.,5,Met proeven ende met temptacien /
Onbekend,DIT ES VAN MASKEROEN.,7,Ende alsi saghen die gracien
Onbekend,DIT ES VAN MASKEROEN.,8,Ende die miraclen die Hi dede /
Onbekend,DIT ES VAN MASKEROEN.,9,Doe duchten si sine godlijchede /
Onbekend,DIT ES VAN MASKEROEN.,10,Tote dien dat si vernamen dat
Onbekend,DIT ES VAN MASKEROEN.,10,Heme hongherde ende dat Hi at:
Onbekend,DIT ES VAN MASKEROEN.,12,Doe hilden si te min daer af.
Onbekend,DIT ES VAN MASKEROEN.,13,Maer uter const / die Onse Here gaf
Onbekend,DIT ES VAN MASKEROEN.,14,Haerre edelre naturen /
Onbekend,DIT ES VAN MASKEROEN.,15,Worden si merkende die Scrifturen
Onbekend,DIT ES VAN MASKEROEN.,15,Ende die propheten / die vorseiden
Onbekend,DIT ES VAN MASKEROEN.,17,Van Ihesus Kerst menschelijcheiden.
Onbekend,DIT ES VAN MASKEROEN.,18,Doe bevreesden si van desen /
Onbekend,DIT ES VAN MASKEROEN.,19,Dat Hi die Gods Sone mochte wesen.
Onbekend,DIT ES VAN MASKEROEN.,20,"Si spraken te samen: ""Ist dat dese sterft /"
Onbekend,DIT ES VAN MASKEROEN.,20,Onse helle wert bi Hem bederft;
Onbekend,DIT ES VAN MASKEROEN.,22,Want Hi sal onse helle roven
Onbekend,DIT ES VAN MASKEROEN.,23,Der sielen die aen Hem gheloven /
Onbekend,DIT ES VAN MASKEROEN.,24,Ende dat waer ons een groot verlies.
Onbekend,DIT ES VAN MASKEROEN.,25,Doe worden si te rade dies /
Onbekend,DIT ES VAN MASKEROEN.,25,Datsi dat beletten wilden.
Onbekend,DIT ES VAN MASKEROEN.,27,Ende want si dwijf daer over hilden
Onbekend,DIT ES VAN MASKEROEN.,28,Dat si naradech ende behendech /
Onbekend,DIT ES VAN MASKEROEN.,29,Cort ghelovende ende ghenendech
Onbekend,DIT ES VAN MASKEROEN.,30,Ware / ende op thare stijf /
Onbekend,DIT ES VAN MASKEROEN.,30,Trocken si ane Pylatus wijf;
Onbekend,DIT ES VAN MASKEROEN.,32,Want si wisten wel / voer waer /
Onbekend,DIT ES VAN MASKEROEN.,33,Dat hi sijn wijf hadde herde kaer /
Onbekend,DIT ES VAN MASKEROEN.,34,Ende hebben haer gheblasen in
Onbekend,DIT ES VAN MASKEROEN.,35,Dat si verwandelde haers mans sin
Onbekend,DIT ES VAN MASKEROEN.,35,Met haren sotten worden wilde /
