author,chapter,line,text
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,1,"Nu hoert, ghi heren, ende swighet stille."
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,2,"Men seet, hine heeft niet sinen wille,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,3,Die aen een quaet wijf es ghehuut;
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,4,"Sijn doghen esser met vernuut,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,5,"Want men seet, met ghenen dinghen"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,6,En machmen een quaet wijf ghedwingen.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,7,"Ende seker hets waer, men saelt u toghen"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,8,"Hier voer u allen, voer u oghen,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,9,Scone exempel van desen saken.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,10,Nu swijcht ende hout met ghemaken:
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,11,Men sal hier spelen slechs ter stont.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,12,Men sal hier spelen enen stront
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,13,Boven toverst op u hoet.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,14,God gheve u scande ende lachter groet!
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,15,Gaet thuusweert ende onderwinnes uus.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,16,"Ic wene wel, hi heeft wat thuus,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,17,Dat hi morghen vroech sal vinden.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,18,"Die keytijf, hi moeste hem onderwinnen!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,19,En conste hi niet gheswighen stille?
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,20,"Men speelt hier hedemeer om sinen wille,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,21,Ende al met sinen quaden clappe!
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,22,Ic wil gaen sitten voer den tappe
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,23,Ende drincken een goet hoet biden viere.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,24,"Tapt in, tapt uut vanden biere!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,25,"Tapt al vol, haest u ter vaert!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,26,"God gheve hem ramp, die hemer spaert!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,27,Ic sal drincken sonder sorghe.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,28,"Levic nu, ic sterve morghen."
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,29,"Laet sien, canicker niet an?"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,30,"Het riect wel, bi sente Jan!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,31,"Ende nu wetic wel, hoet smaect."
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,32,"Siet, hoe dit volc nu steet en gaept!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,33,Saechdi noit liede? wildi mi copen?
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,34,"Mi dunct, en derf niet verre lopen"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,35,Om sotte te vane al sonder nette.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,36,"Ay! siet dese gapaerts, bi Coels sette!"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,37,Men soude meer liede vaen dan muschen.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,38,Ic moet drincken ondertuschen.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,39,"Baa! wat duncket u, maghict wel?"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,40,"Ghine siet hier hedemeer ander spel,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,41,"Hets sonder reden, dat ghi hier staet."
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,42,Wat duvel! hebdi hier ghemaect?
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,43,Ghi hebt ghemaect een onderhaspe.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,44,"Ic sal u op den bolle tasten,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,45,"Want wat ghi doet, hets altoes quaet."
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,46,Ay! iement van u allen gaet
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,47,Ende hael elken een cussen onder sine voete!
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,48,"Maria, moeder ende maghet soete,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,49,"En trouwen, ghine hebt gheen scande in u."
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,50,Besiet mi wel! dunckic u een scu?
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,51,Dit wonder en was noit ghehoert.
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,52,"Ghebuer, ghi scijnt harde sere gestoert,"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,53,"Hebdi iet, dat u jeghen gheet?"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,54,"En siedi niet dit volc, hoet steet"
Onbekend,ENE SOTTE BOERDE ENDE ENE GOEDE SOTTERNIE. (DRIE DAGHE HERE).,55,Ende gaept op mi in mijn ghelach?
