author,chapter,line,text
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],1,"Daventure vertellet, twaren,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],2,"Doe die heren wech waren,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],3,"Ende die hof gesceden was,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],4,"Daer ic hier vore nu af las,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22275,Quam ene joncfrouwe gereden daer.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],6,"Een wit hondekin liep haer naer,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],7,Ende tirst dat si int hof quam
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],8,Ende si den coninc Artur vernam
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],9,Sprac si na haer lans wise:
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22280,"""Dat u God lone van paradise,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],11,Die geweldech es alre sake.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],12,"Her coninc, doet horen mine sprake:"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],13,Hort nu mine aventure meest.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],14,In dit lant stoet een foreest
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22285,"Bi enen sconen gronen dale,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],16,Dat suldi nu bekinnen wale.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],17,Dit foreest es beloken al
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],18,Tuscen twee berge in een dal;
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],19,Daer ombe gaen hoge mure:
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22290,Ic waent hem soude werden te sure
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],21,"Die met crachte in comen soude,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22,"Sonder tenen inde vanden woude,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],23,Daer een wiket staet herde clene.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],24,Te dire stat ende el ne gene
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22295,"Machmen in dat foreest comen,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],26,Eest alsict hebbe vernomen.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],27,Ende beneden op ene rivire
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],28,"Staet menech boem goet ende dire,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],29,Daert bi doet wesen soete.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22300,Een hert met enen witten vote
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],31,Es meester vanden watere al
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],32,Ende vanden foreeste dat staet int dal.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],33,Vort so bliken optie berge
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],34,"Die lyone groet alse dwerge,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22305,Die den hert alle wachten.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],36,Het doet daer quaet ieman vernachten:
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],37,Nacht ende dach sijn si gegar;
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],38,Mi ware leet ware ic gespar
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],39,"Jegen hen: si sijn soe fel,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22310,Dat wanic weten harde wel.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],41,"Her coninc, gine hebt niet vernomen"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],42,Op wat saken ic hier ben comen.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],43,"Diegene die mi hier heft gesant,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],44,"Si es coninginne in haer lant,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22315,Ende van menegen riddere vrouwe.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],46,Ic daert wel nemen op mine trouwe
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],47,Dat si hevet in haer bedwanc
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],48,"Drie coninge al sonder wanc,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],49,Die gereet tharen dienste sijn.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22320,"Si es scoenre dan dat sonnescijn,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],51,Beide van hude ende van hare:
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],52,Oec en werd nieman geware
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],53,Dorperheit an hare en twint.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],54,"Si es een utermaten scone kint,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22325,Ende wel uten rike geboren.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],56,Bi harre cronen heeft si gesworen
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],57,"Dat si nembermer neme man,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],58,En si die hare gebringen can
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],59,Vanden hert den witten voet.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22330,Hine es te winne niet so goet:
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],61,"So wie die den lyoen slaet,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],62,Eer hi den hert oec gevaet
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],63,Hi moet di jacht en stic herden:
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],64,Hi saelt hem te sure laten werden.
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22335,Die daer nu varen woude
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],66,"Siet hier dit hondekin, datten soude"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],67,Leiden optie rechte slage
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],68,"Int foreest, daer die hert lage"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],69,"Ende in wandelinge es meest."""
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],22340,"Keye sprac: ""Semmi di heilegeest,"
Onbekend,LIV.  [Vander joncfrouwen metten hondekine ende van Keyen.],71,"Joncfrouwe, geeft mi dat hondekin,"
