author,chapter,line,text
Onbekend,DER VROUWEN HEIMELIJCHEIT,1,"MIJN lieve joncfrouwe heeft mi gebeden,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,2,"Bi gherechter hovescheden,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,3,Iet te dichtene dat orborlec zij;
Onbekend,DER VROUWEN HEIMELIJCHEIT,4,"Doer haren wille anemix mi,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,5,"Dies ic luttel hebbe gheploghen,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,6,Hare minne heeft mi alsoe doer vloghen
Onbekend,DER VROUWEN HEIMELIJCHEIT,7,"Mijn herte ende minen zin,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,8,Dat ic en peyse meer no min
Onbekend,DER VROUWEN HEIMELIJCHEIT,9,Dan altoes te doene dat haer behaghe;
Onbekend,DER VROUWEN HEIMELIJCHEIT,10,"Want ic haer minne met herten draghe,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,11,"So ghestadelike sonder berouwen,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,12,"Dat ic genieten hope miere trouwen,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,13,"Want die lieve vrouwe mijn,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,14,"Die niet beter en mach zijn,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,15,So dunct mi werdich alre eeren.
Onbekend,DER VROUWEN HEIMELIJCHEIT,16,Doer haren wille willic mi keeren
Onbekend,DER VROUWEN HEIMELIJCHEIT,17,Op mine matiere die ic vant
Onbekend,DER VROUWEN HEIMELIJCHEIT,18,"In eenen boec, die was valiant,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,19,Ende die waerheit oec seit
Onbekend,DER VROUWEN HEIMELIJCHEIT,20,"Van der vrouwen heimelijcheit,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,21,"Maer ic bidde miere liever joncfrouwen,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,22,"Welc tijt zij dit boec zal scouwen,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,23,"Oft daer inne iet sal lesen,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,24,Dat sijs mi niet t' onhouder moet wesen
Onbekend,DER VROUWEN HEIMELIJCHEIT,25,"Dat ic bescrive hare heimelijcheit,"
Onbekend,DER VROUWEN HEIMELIJCHEIT,26,Die ic metter waerheit
Onbekend,DER VROUWEN HEIMELIJCHEIT,27,"Inden sal, so ic best mach."
Onbekend,DER VROUWEN HEIMELIJCHEIT,28,God die gheve hare goeden dach
