author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[...............]
Onbekend,Onbekend Hoofdstuk,2,Dat si haer seluen vallen liet
Onbekend,Onbekend Hoofdstuk,3,In onmacht I lange stont
Onbekend,Onbekend Hoofdstuk,4,Alsi bequam d[at si v cont]
Onbekend,Onbekend Hoofdstuk,5,Riep si driew[er]ue[n] lief
Onbekend,Onbekend Hoofdstuk,6,Die mi solaes ende grief
Onbekend,Onbekend Hoofdstuk,7,Beide mach nemen ende gheuen
Onbekend,Onbekend Hoofdstuk,8,Ende an wien dat al mijn leuen
Onbekend,Onbekend Hoofdstuk,9,Staet ghewortelt dat hi
Onbekend,Onbekend Hoofdstuk,10,Met I worde mochte mi
Onbekend,Onbekend Hoofdstuk,11,doden of gheuen lijf
Onbekend,Onbekend Hoofdstuk,12,Nochtan wetic wel dat geen wijf
Onbekend,Onbekend Hoofdstuk,13,Sculdech es te makene mare
Onbekend,Onbekend Hoofdstuk,14,Eneghen man hoe dat in hare
Onbekend,Onbekend Hoofdstuk,15,Sine minne es gheplant
Onbekend,Onbekend Hoofdstuk,16,Maer lief ghine sijt geen calant
Onbekend,Onbekend Hoofdstuk,17,[L]oe[s] quaet no onwerlech
Onbekend,Onbekend Hoofdstuk,18,Maer ter doget soe ghepertech
Onbekend,Onbekend Hoofdstuk,19,[D]at in v es geen lac
Onbekend,Onbekend Hoofdstuk,20,Natuerljke lief dat niet en brac
Onbekend,Onbekend Hoofdstuk,21,Mine herte alsi sach v
Onbekend,Onbekend Hoofdstuk,22,Dats meer dan wonder ic toget v
Onbekend,Onbekend Hoofdstuk,23,Ghi sijt mijn ruste mijn delijt
Onbekend,Onbekend Hoofdstuk,24,Slapende wakende talre tijt
Onbekend,Onbekend Hoofdstuk,25,Benic v soe waer ghi weest
Onbekend,Onbekend Hoofdstuk,26,Vercoren lief aldus eest
Onbekend,Onbekend Hoofdstuk,27,Wonder dat s[i niet] en brac
Onbekend,Onbekend Hoofdstuk,28,Mine herte eer [si] sprac
Onbekend,Onbekend Hoofdstuk,29,Die d[us v]ul es van vwen parchelen
Onbekend,Onbekend Hoofdstuk,30,Sagic liggen al die fardelen
Onbekend,Onbekend Hoofdstuk,31,Van alden [mann]en die nv leuen
Onbekend,Onbekend Hoofdstuk,32,Lief [sone wist]ic mi hoe geuen
Onbekend,Onbekend Hoofdstuk,33,Te [nechma]ns [diens]te dan ten uwen
Onbekend,Onbekend Hoofdstuk,34,Athe[nor] wilde mi doen huwen
