author,chapter,line,text
Niet van toepassing,1,1,"Here God, wie mach hem des beclaghen"
Niet van toepassing,1,2,Die sine ghenouchte crijcht up erde?
Niet van toepassing,1,3,Hoe mach hem dan den tijt behaghen
Niet van toepassing,1,4,Die nie ghewan daer hi na gherde!
Niet van toepassing,1,5,"Hi es te voet, tgheluc te perde."
Niet van toepassing,1,6,"Met rechte lijt sijn herte pijn,"
Niet van toepassing,1,7,Want elc ende elc neemt gerne tsijn.
Niet van toepassing,1,8,Ic weinsche hem heyl op elcken dach
Niet van toepassing,1,9,Die sinen boele hout stede ende trouwe.
Niet van toepassing,1,10,"Maecht hem gheburen of en mach,"
Niet van toepassing,1,11,Dat men geen onsteide an hem scauwe.
Niet van toepassing,1,12,Ic gheve mijn steide der liefster vrouwe
Niet van toepassing,1,13,"In wien dat rust die hertze mijn,"
Niet van toepassing,1,14,Want elc ende elc etc.
Niet van toepassing,1,15,Hwi maecht beniden eenich zin
Niet van toepassing,1,16,Dat lief ende lief te zamen gheren?
Niet van toepassing,1,17,Want alle bliscap vint mer in
Niet van toepassing,1,18,Ende ooc en can ment niet gheweren.
Niet van toepassing,1,19,"Tzwaer, het mach elker herten deren"
Niet van toepassing,1,20,"Dat niders hier in doen venijn,"
Niet van toepassing,1,21,Want elc ende elc etc.
Niet van toepassing,1,22,Men can ghelijc ende onghelijc
Niet van toepassing,1,23,"Met vruechden voughen niet in eyn,"
Niet van toepassing,1,24,Maer altoos es in vreuchden rijc
Niet van toepassing,1,25,Lief bi lief in trouwen reyn.
Niet van toepassing,1,26,"Een kerel ghert der vruechden gheyn,"
Niet van toepassing,1,27,"Hi mint den scat, spise ende wijn,"
Niet van toepassing,1,28,Want elc ende elc etc.
Niet van toepassing,1,29,"Selver, gout ende dierbaer steine"
Niet van toepassing,1,30,"Jeghen een wivelic aenzien,"
Niet van toepassing,1,31,"Dat prisic zeker alte cleine,"
Niet van toepassing,1,32,Want ic sghelijcs bezeffe in mien.
Niet van toepassing,1,33,"Mijn hertze en can di nicht ontflien,"
Niet van toepassing,1,34,"Ic ghere vor al die hulde dijn,"
Niet van toepassing,1,35,Want elc ende elc neimt gherne tzijn.
