author,chapter,line,text
Niet van toepassing,I.,1,"Const, cracht, wille zonder daet,"
Niet van toepassing,I.,2,"Daer of en comt goet no quaet,"
Niet van toepassing,I.,3,"Ende hoge daet zonder wise raden,"
Niet van toepassing,I.,4,Dats een recht beghin van scaden;
Niet van toepassing,I.,5,"Met wisen rade const beleit,"
Niet van toepassing,I.,6,Dats een behouden aerbeit;
Niet van toepassing,I.,7,"Ende cracht met wizer const te zamen,"
Niet van toepassing,I.,8,Dat brinct tweerc te zire namen.
Niet van toepassing,I.,9,"Nochtan en doocht cracht no const,"
Niet van toepassing,I.,10,Sonder wille ende zonder jonst;
Niet van toepassing,I.,11,"Wat sal dan cracht, const, wille ende moet,"
Niet van toepassing,I.,12,Of ment niet te werke en doet?
Niet van toepassing,I.,13,Ende wat salt al te werke ghedaen
Niet van toepassing,I.,14,Voor de gone die niet verstaen?
Niet van toepassing,I.,15,Dats recht besceyt als daer men zaeyt
Niet van toepassing,I.,16,"Daer men nemmermeer en mayt,"
Niet van toepassing,I.,17,Daer men verliest pine ende coren;
Niet van toepassing,I.,18,Aldus blijft menich const verloren.
Niet van toepassing,I.,19,Maer hets beter verloren pine
Niet van toepassing,I.,20,Dan const daer pine in pleicht te zine;
Niet van toepassing,I.,21,Want aerbeit sonder const in daden
Niet van toepassing,I.,22,Dan can den zinnen niet ghescaden;
Niet van toepassing,I.,23,Maer aerbeit ende const te zamen
Niet van toepassing,I.,24,"Beroert zinnen ende lechamen,"
Niet van toepassing,I.,25,"Ende als ment al beroert int werken,"
Niet van toepassing,I.,26,"Door hem dies niet verstaen no merken,"
Niet van toepassing,I.,27,"Daer wert des aerbeits loon vergouden,"
Niet van toepassing,I.,28,Als vor zwinen ghezait corsouden.
Niet van toepassing,I.,29,"Const si doch const met consten loonen,"
Niet van toepassing,I.,30,So en zoude hem niemen connen becronen;
Niet van toepassing,I.,31,"Maer rude up twerc no up loon ne ghissen,"
Niet van toepassing,I.,32,Dies moet men loon der const ghemissen.
Niet van toepassing,I.,33,Die werct in dustanicher hopen
Niet van toepassing,I.,34,"Si suller lettel mede copen,"
Niet van toepassing,I.,35,Die rade en weet hoe verre hoe bi
Niet van toepassing,I.,36,Den rechten loon der consten zi;
Niet van toepassing,I.,37,Dus willic minen wagen mennen
Niet van toepassing,I.,38,An die de weghe der consten kennen;
Niet van toepassing,I.,39,So sal mijn pine in den fijn
Niet van toepassing,I.,40,Na rechter werde vergouden zijn.
Niet van toepassing,I.,41,"Een droom die mi hout in dole,"
