author,chapter,line,text
Onbekend,Fragment I,1,Miin goede ors van sterken leden
Onbekend,Fragment I,2,Ter quader wile custic heden
Onbekend,Fragment I,3,Aubri die dreef groten rouwe
Onbekend,Fragment I,4,Onder een busscelkijn bi der vrouwen.
Onbekend,Fragment I,5,"""Ay vrouwe!"" seiti, ""dat ic u zach"
Onbekend,Fragment I,5,"Heden an desen dach,"
Onbekend,Fragment I,7,"Es ter armer wilen gegaen,"
Onbekend,Fragment I,8,Ende dwerc dat ic adde bestaen;
Onbekend,Fragment I,9,"Nune bemic niet zeker te waren,"
Onbekend,Fragment I,10,Hoe miin volc heeft gevaren
Onbekend,Fragment I,11,Ende wat miin neve G[azeliin] doet;
Onbekend,Fragment I,12,"Gode biddic up rechte omoet,"
Onbekend,Fragment I,13,Dat hi bescerme desen dage
Onbekend,Fragment I,14,"Minen lachame van quader plage,"
Onbekend,Fragment I,15,Want zien mi gone Sarrasinen
Onbekend,Fragment I,16,"Te voet, zi sullen mi zere pinen;"
Onbekend,Fragment I,17,Want ic weet dat wel bi staden
Onbekend,Fragment I,18,Om een kerre gouds geladen
Onbekend,Fragment I,19,"Ne lietsiit niet, sine souden mi"
Onbekend,Fragment I,20,"Doden"", sprac de ridder vri."
Onbekend,Fragment I,21,Doe ginc hi in ten foreeste
Onbekend,Fragment I,22,Clagende Blanchaerde sine beeste;
Onbekend,Fragment I,23,Onder ene hole strate
Onbekend,Fragment I,24,"Sat hi, hine mochten niet gematen"
Onbekend,Fragment I,25,Te weene ende te drivene cariin
Onbekend,Fragment I,26,Om ziin goet ors Blanchardiin.
Onbekend,Fragment I,27,Het was daer gelovert wel;
Onbekend,Fragment I,28,"Om Sarrasinen wachte de degen snel,"
Onbekend,Fragment I,29,"Of si enege perde brochten,"
Onbekend,Fragment I,30,Dat hi een ors winnen mochte.
Onbekend,Fragment I,31,Dus bleef hi allene in goont wout
Onbekend,Fragment I,32,Drivende jammer ende ongedout
Onbekend,Fragment I,33,Ende bekarmde siin ors Blanchaert.
Onbekend,Fragment I,34,Hen weende nie man so om een paert.
Onbekend,Fragment I,35,Guiborch die dreef groten rouwe
Onbekend,Fragment I,36,"Ende Sornahaut de scone jonfrouwe,"
Onbekend,Fragment I,37,"Si dreven de meeste jammerhede,"
Onbekend,Fragment I,38,Die nie ter werelt vrouwe dede
Onbekend,Fragment I,39,"Doe dat zach de degen goet,"
Onbekend,Fragment I,40,Dwanc hi een deel sinen moet
Onbekend,Fragment I,41,Ende gincse beede conforteren
Onbekend,Fragment I,42,Van haren jammerliken zere.
Onbekend,Fragment I,43,"""Kerssine"", sprac de ridder waert,"
Onbekend,Fragment I,44,"""Soudic vergeten om een paert"
Onbekend,Fragment I,45,[...............]
Onbekend,Fragment I,46,[...............]
Onbekend,Fragment I,45,Doe andworde Guiborch de scone:
Onbekend,Fragment I,48,"""Dor den heren van den trone,"
Onbekend,Fragment I,49,"Aubri, laet uwen rouwe zinken,"
Onbekend,Fragment I,50,Mochti de Sarrasinen minken
Onbekend,Fragment I,51,Ende zuveren  so mochten wi
Onbekend,Fragment I,50,"Feeste driven, ic ende ghi,"
Onbekend,Fragment I,53,Men sout weten verre ende naer
Onbekend,Fragment I,54,"Ghi sout ooc coninc ziin eer een jaer."""
Onbekend,Fragment I,55,"Sornahaut, de scone blonde,"
Onbekend,Fragment I,56,Vragede Aubri ter stonde
Onbekend,Fragment I,55,"Om sinen neve G[azeliin],"
Onbekend,Fragment I,58,Want soe met hare herten fiin
Onbekend,Fragment I,59,Loyale minne te hem drouch.
Onbekend,Fragment I,60,Aubri antworde ende louch:
Onbekend,Fragment I,61,"""Waerheden, jonfrouwe, in weet,"
Onbekend,Fragment I,60,Over waer es hi mi ongereet;
Onbekend,Fragment I,63,Van hem sone weetic niet;
Onbekend,Fragment I,64,"Trouwen, wisti miin verdriet"
Onbekend,Fragment I,65,"Ende dat ghi so nare ziit mi,"
Onbekend,Fragment I,66,Ridder van herten so es hi vri
Onbekend,Fragment I,65,Hi ende siin volc sonder waen
Onbekend,Fragment I,68,"Souden mids dor de viande slaen,"
Onbekend,Fragment I,69,"Hi sout arde lettel sparen,"
Onbekend,Fragment I,70,Tote hi tons comen ware;
Onbekend,Fragment I,71,"Biden here, die mi geboot,"
Onbekend,Fragment I,70,Hi soudse alle slaen te doot
Onbekend,Fragment I,73,"De Sarrasinen ende wonden,"
Onbekend,Fragment I,74,Toti miin goede ors adde gevonden.
Onbekend,Fragment I,75,Hi soude ons lossen arde sciere
Onbekend,Fragment I,76,"Ende u, jonfrouwe van Baiviere,"
Onbekend,Fragment I,75,"Al siin herte leghet an u."""
Onbekend,Fragment I,78,"Sornahaut was so wel gheblu,"
Onbekend,Fragment I,79,Daer soe dese worde
Onbekend,Fragment I,80,"Van haren lieve spreken horde,"
Onbekend,Fragment I,81,"Dat soe ne wiste, waer soe zat"
Onbekend,Fragment I,80,Ende haren onger al vergat.
Onbekend,Fragment I,83,Dus bleven si sittende sonder ghile.
Onbekend,Fragment I,84,"Nu hort van G[azeliin] ene wile,"
Onbekend,Fragment I,85,Die met sinen lieden vacht
Onbekend,Fragment I,86,Ende Tieriin met alre cracht;
Onbekend,Fragment I,85,"Si vochten zere ende slougen al,"
Onbekend,Fragment I,88,"Datter was groet ende smal,"
Onbekend,Fragment I,89,"Si slougenre .VII.M. wel,"
Onbekend,Fragment I,90,Ende G[azelün] de ridder snel
Onbekend,Fragment I,91,Adde verloren den Borgengoen.
Onbekend,Fragment I,92,[...............]
Onbekend,Fragment I,93,[...............]
Onbekend,Fragment I,90,"[Gazeliin] sprac: ""ic weet wel te voren,"
Onbekend,Fragment I,95,"[He]bbic minen oom verloren,"
Onbekend,Fragment I,96,[I]c sal mi selven nemen dliif;
Onbekend,Fragment I,97,[I]c weet wel zachi tscone wiif
Onbekend,Fragment I,98,"[S]ornahauden ende hare vrouwe,"
Onbekend,Fragment I,95,"[H]ine liet dor bliscap no dor rouwe,"
Onbekend,Fragment I,100,Hine voerem staen in staden;
Onbekend,Fragment I,101,"[Dat] wetic wel, was hi verladen,"
Onbekend,Fragment I,102,"[I]c zalne souken, bi onsen here."
Onbekend,Fragment I,103,[Doe] antworde Tieriin met zere:
Onbekend,Fragment I,100,"""[A]y G[azeliin] datti goet gescie,"
Onbekend,Fragment I,105,[W]eten wreken den stouten Aubri!
Onbekend,Fragment I,106,"[A]ucotiin die lach hier bi."""
Onbekend,Fragment I,107,"""[B]i gode"", sprac G[azeliin], ""dat si."""
Onbekend,Fragment I,108,[B]in desen hevet de coene degen
Onbekend,Fragment I,105,"[S]iin ogen zuutwert up geslegen,"
Onbekend,Fragment I,110,[B]in desen zachi comen zaen
Onbekend,Fragment I,111,"[D]ie Sarrasinen, die gevaen"
Onbekend,Fragment I,112,[B]rochten tgoet ors Blanchardiin.
Onbekend,Fragment I,113,"[A]ls dit verzach G[azeliin],"
Onbekend,Fragment I,110,[R]iep met luder stemmen de degen:
Onbekend,Fragment I,115,"""[A]y miin oom Aubri es verslegen!"
Onbekend,Fragment I,116,"[I]c sie hier bringen sine[n] wreene,"
Onbekend,Fragment I,117,"[D]beste paert, dat nie liep over vier bene."""
Onbekend,Fragment I,118,[N]u wildent de Sarrasinen
Onbekend,Fragment I,115,[Pro]senteren Acotine
Onbekend,Fragment I,120,[E]nde brochtent gheleet openbaer.
Onbekend,Fragment I,121,"[D]ies adde G[azeliin] therte zwaer,"
Onbekend,Fragment I,122,"[E]nde seide: ""ic sorge in minen zinne,"
Onbekend,Fragment I,123,"[D]at ict niet sal mogen winnen."""
Onbekend,Fragment I,120,[D]oe sprac Tieriin de degen snel:
Onbekend,Fragment I,125,"""[B]i gode, G[azeliin], ghi sult wel;"
Onbekend,Fragment I,126,"[S]laet in, edel ridder fier!"""
Onbekend,Fragment I,127,[Met] sporen nopedsi haer destrier.
Onbekend,Fragment I,128,[T]ieriin de ridder valgant
Onbekend,Fragment I,125,[Hi] hief gewillike den brant
Onbekend,Fragment I,130,[E]nde slouch den hertoge Maboen
Onbekend,Fragment I,131,[D]or halsberch ende aucotoen;
Onbekend,Fragment I,132,"[A]l sat bi up dors Blanchaert,"
Onbekend,Fragment I,133,"[T]oter navele zanc in dat zwaert,"
Onbekend,Fragment I,130,[W]ant hi slouch met goeden wille.
Onbekend,Fragment I,135,[M]aboen viel af ende tpaert stout stille;
Onbekend,Fragment I,136,[D]oe sprac de stoute G[azeliin]:
Onbekend,Fragment I,137,"""[G]hebenediit so moeti ziin"
Onbekend,Fragment I,138,"[D]ie moeder die u ghedrouch,"
Onbekend,Fragment I,139,[...............]
Onbekend,Fragment I,140,[...............]
Onbekend,Fragment I,135,Entie edelinc vermeten
Onbekend,Fragment I,142,"Es zonder letten daer up geseten,"
Onbekend,Fragment I,143,"Ende slouch enen Sarrasiin,"
Onbekend,Fragment I,144,Hiet van der Maroken Boudewiin;
Onbekend,Fragment I,145,"So zere slouchine up den scilt,"
Onbekend,Fragment I,140,"Datter jegen niet ne hilt,"
Onbekend,Fragment I,147,Ende cloofden in ten tanden toe;
Onbekend,Fragment I,148,Sinen gezelle troosti doe
Onbekend,Fragment I,149,"Ende batten, datsi souden slaen;"
Onbekend,Fragment I,150,"Dat pongiis was sciere gedaen,"
Onbekend,Fragment I,145,Die Sarrasinen bleven daer doot
Onbekend,Fragment I,152,Wel VII.M. in een conroot.
Onbekend,Fragment I,153,Doe zeide G[azeliin] de vrie:
Onbekend,Fragment I,154,"""Nu willic minen oom Aubri"
Onbekend,Fragment I,155,"Souken, also help mi ons here;"
Onbekend,Fragment I,150,"Lieve gezelle, ic biddu zere"
Onbekend,Fragment I,157,"Dat ghi hier bliift, ic zal zouken"
Onbekend,Fragment I,158,Minen oom Aubri in allen houken
Onbekend,Fragment I,159,"Ende geven hem siin ors Blanchaert,"
Onbekend,Fragment I,160,"Es hi levende"", ende metter vaert"
Onbekend,Fragment I,155,Andworden Tieriin de ridder goet:
Onbekend,Fragment I,162,"""Bi gode die ons leven doet,"
Onbekend,Fragment I,163,"G[azeliin] ic salne souken mede."""
Onbekend,Fragment I,164,G[azeliin] te hant weder zede:
Onbekend,Fragment I,165,"""Wete Kerst, Tieriin, gine zult niet,"
Onbekend,Fragment I,160,Bliift hier stille ende spiet
Onbekend,Fragment I,167,"De Sarrasinen ende slaet,"
Onbekend,Fragment I,168,"Ende wacht dat u negeen ontgaet."""
Onbekend,Fragment I,169,"Tieriin sprac: ""bi Sente Symoen,"
Onbekend,Fragment I,170,"G[azeliin] dit willic gerne doen,"
Onbekend,Fragment I,165,"Ic ne wils niet achtertrecken."""
Onbekend,Fragment I,172,"G[azeliin] de coene recke,"
Onbekend,Fragment I,173,"Die noopte Blanchardine met sporen,"
Onbekend,Fragment I,174,Hine sparde gers no coren:
Onbekend,Fragment I,175,Te vullen lope liep dat paert.
Onbekend,Fragment I,170,In desen verrooc Blanchaert
Onbekend,Fragment I,177,"[Aubry] sinen here,"
Onbekend,Fragment I,178,Ende het begonde neyen zere
Onbekend,Fragment I,179,Ende scrabbelde metten voete.
Onbekend,Fragment I,180,Ende Aubri die met goeden moete
Onbekend,Fragment I,175,In de bome gekamet lach
Onbekend,Fragment I,182,Thooft lichti up ende zach
Onbekend,Fragment I,183,Sinen wrene vaste springen
Onbekend,Fragment I,184,Ende dede sine bellen clingen
Onbekend,Fragment I,185,Van [...............]
Onbekend,Fragment I,186,[...............]
Onbekend,Fragment II,180,Ende Aubri de Borgengoen
Onbekend,Fragment II,188,"Sagie grote martelie doen,"
Onbekend,Fragment II,189,"De Sarrasinen slougense doot,"
Onbekend,Fragment II,190,Nu weti de wareit alblood;
Onbekend,Fragment II,191,"Si ziin doot de heren vercoren,"
Onbekend,Fragment II,185,"Dat ghi piint, es al verloren"
Onbekend,Fragment II,193,"Als Amauriis dit heeft verstaen,"
Onbekend,Fragment II,194,Ne weeti wat anegaen.
Onbekend,Fragment II,195,"""Acharmen"", seiti, ""allendich man,"
Onbekend,Fragment II,196,Dat ic nie dat liif gewan;
Onbekend,Fragment II,190,"Ic was geboren ter quader tiit,"
Onbekend,Fragment II,198,"Ay Ode van Lengers, groten niit"
Onbekend,Fragment II,199,"Magic te di dragen algader,"
Onbekend,Fragment II,200,Ende Heinriic van Ostume den verrader;
Onbekend,Fragment II,201,"Bi den here die al mach geven,"
Onbekend,Fragment II,195,"Het sal u beeden costen dleven,"
Onbekend,Fragment II,203,"Magic u begaen of beriden."""
Onbekend,Fragment II,204,Ende bin desen zelven tiden
Onbekend,Fragment II,205,Lieti hem gliden uten ghereide
Onbekend,Fragment II,206,Ende viel in onmacht up de heide.
Onbekend,Fragment II,200,Dit zach G[azeliin] met sinen ogen
Onbekend,Fragment II,208,"Ende ne maghet langer niet gedogen,"
Onbekend,Fragment II,209,Hi beette ter erden zaen
Onbekend,Fragment II,210,Ende heeften in den arm bevaen
Onbekend,Fragment II,211,"Ende hiefen up van daer hi lach,"
Onbekend,Fragment II,205,Ende custene als hi eerst mach
Onbekend,Fragment II,213,"""Willecome, broeder miin,"
Onbekend,Fragment II,214,"Zelve ben ic G[azeliin],"
Onbekend,Fragment II,215,Dien ghi so lange ebt gesocht;
Onbekend,Fragment II,216,"God heeft u hier brocht,"
Onbekend,Fragment II,210,"Hout u te payse, degen vri,"
Onbekend,Fragment II,218,"Dit grote, dit lange es Aubri,"
Onbekend,Fragment II,219,Die heeft gedaen in meneger wise
Onbekend,Fragment II,220,"Dat hien wel terechte prise."""
Onbekend,Fragment II,221,"Amariis die hoorde toe,"
Onbekend,Fragment II,215,Hi was van herten arde vro.
Onbekend,Fragment II,223,"""Ay"" sprac Amauriis, de jonchere fiin,"
Onbekend,Fragment II,224,"""Broeder, wel moeti comen ziin"
Onbekend,Fragment II,225,"Ende ghi, lieve oom Aubri;"
Onbekend,Fragment II,226,"Ic bids, hoort een deel na mi,"
Onbekend,Fragment II,220,Ic doe u de waereit verstaen:
Onbekend,Fragment II,228,Miin vader heeft dor u vele gedaen
Onbekend,Fragment II,229,Rauwel dien god eren moet.
Onbekend,Fragment II,230,[...............]
Onbekend,Fragment II,231,Ende hevetter omme groten rouwe
Onbekend,Fragment II,232,"Ende Ermenael miin vrouwe,"
Onbekend,Fragment II,225,"Ende nu ebbic u lange ghesocht,"
Onbekend,Fragment II,234,"Ende god hevet mi nu hier brocht,"
Onbekend,Fragment II,235,Ende si zoudene wel gerne zien;
Onbekend,Fragment II,236,"Nu comt, dat u goet moete gescien."""
Onbekend,Fragment II,237,"""Neve"", sprac Aubri, ""wats gesciet,"
